resource	file	primary_source_url	retrieval_url	download_date	bytes	checksum_algorithm	checksum	expected_checksum	checksum_match	magma_version	genome_build	notes
gene_loc	PROJECT_ROOT/data/annotations/magma/NCBI37.3.gene.loc	https://ctg.cncr.nl/software/MAGMA/aux_files/NCBI37.3.zip	https://github.com/comorment/magma/tree/main/reference/magma/NCBI37.3	2026-09-04	687719	SHA-256	bfcb5273801cc3e37dcb98f5465f4498daa8c0cfcda2f4f3fbc51abe02000e7e	bfcb5273801cc3e37dcb98f5465f4498daa8c0cfcda2f4f3fbc51abe02000e7e	PASS	v1.10 (custom, self-reported)	GRCh37 / NCBI37.3	Git LFS retrieval mirror; primary provenance is official MAGMA resource
g1000_eur.bed	PROJECT_ROOT/data/ld_reference/magma_1000g_eur/g1000_eur.bed	https://ctg.cncr.nl/software/MAGMA/ref_data/g1000_eur.zip	https://zenodo.org/records/14142263	2026-09-04	2855798067	SHA-256	fadce7321e622ed20e3cb7798b3e54699c7f342752c642a14ddb982d93d8e08c	fadce7321e622ed20e3cb7798b3e54699c7f342752c642a14ddb982d93d8e08c	PASS	v1.10 (custom, self-reported)	GRCh37 / NCBI37.3	Compressed EUR-1000G retrieval mirror; archive checksum and PLINK object checksums recorded
g1000_eur.bim	PROJECT_ROOT/data/ld_reference/magma_1000g_eur/g1000_eur.bim	https://ctg.cncr.nl/software/MAGMA/ref_data/g1000_eur.zip	https://zenodo.org/records/14142263	2026-09-04	658724714	SHA-256	b7dfeb30cef0573059ae43dd85a6924e46e418d6fe03df6b0ff1166c79cfa131	b7dfeb30cef0573059ae43dd85a6924e46e418d6fe03df6b0ff1166c79cfa131	PASS	v1.10 (custom, self-reported)	GRCh37 / NCBI37.3	Compressed EUR-1000G retrieval mirror; archive checksum and PLINK object checksums recorded
g1000_eur.fam	PROJECT_ROOT/data/ld_reference/magma_1000g_eur/g1000_eur.fam	https://ctg.cncr.nl/software/MAGMA/ref_data/g1000_eur.zip	https://zenodo.org/records/14142263	2026-09-04	12575	SHA-256	79dee21226fd04b5a889cbbeacd08079e1740e7d63b0a4dea115527e8fea4dae	79dee21226fd04b5a889cbbeacd08079e1740e7d63b0a4dea115527e8fea4dae	PASS	v1.10 (custom, self-reported)	GRCh37 / NCBI37.3	Compressed EUR-1000G retrieval mirror; archive checksum and PLINK object checksums recorded
g1000_eur.zip	PROJECT_ROOT/data/ld_reference/magma_1000g_eur/g1000_eur.zip	https://ctg.cncr.nl/software/MAGMA/ref_data/g1000_eur.zip	https://zenodo.org/records/14142263	2026-09-04	511626945	MD5	1919cb5c79bbe7871aed71ae4abe6217	1919cb5c79bbe7871aed71ae4abe6217	PASS	v1.10 (custom, self-reported)	GRCh37 / NCBI37.3	Zenodo record used as a retrieval mirror because the official CTG host was unavailable from this host; extracted PLINK objects are independently checked below.
