analysis	model	factor	trait	standardized_loading	loading_SE	loading_Z	P	residual_variance	residual_SE	heywood_case
primary	M1_OCULAR_SHARED	OCULAR_SHARED	AMD	0.4398	0.0855	5.143	2.6933e-07	0.8065	0.1370	NO
primary	M1_OCULAR_SHARED	OCULAR_SHARED	POAG	-0.5202	0.0975	-5.336	9.4612e-08	0.7294	0.1108	NO
primary	M1_OCULAR_SHARED	OCULAR_SHARED	RE	0.3235	0.0634	5.102	3.3838e-07	0.8953	0.0556	NO
POAG_noUKBB_sensitivity	M1_OCULAR_SHARED	OCULAR_SHARED	AMD	0.4528	0.0879	5.151	2.5981e-07	0.7950	0.1379	NO
POAG_noUKBB_sensitivity	M1_OCULAR_SHARED	OCULAR_SHARED	POAG_NO_UKBB	-0.5431	0.1003	-5.414	6.2323e-08	0.7051	0.1207	NO
POAG_noUKBB_sensitivity	M1_OCULAR_SHARED	OCULAR_SHARED	RE	0.3143	0.0621	5.062	4.1066e-07	0.9012	0.0543	NO
