author_cell_type	cell_type	majorclass	harmonized_broad_class	notes
official majorclass	official majorclass	AC	amacrine cells	official SCP2805 broad-class mapping
official majorclass	official majorclass	Astrocyte	astrocytes	official SCP2805 broad-class mapping
official majorclass	official majorclass	BC	bipolar cells	official SCP2805 broad-class mapping
official majorclass	official majorclass	Cone	cones	official SCP2805 broad-class mapping
official majorclass	official majorclass	HC	horizontal cells	official SCP2805 broad-class mapping
official majorclass	official majorclass	MG	Muller glia	official SCP2805 broad-class mapping
official majorclass	official majorclass	Microglia	microglia	official SCP2805 broad-class mapping
official majorclass	official majorclass	RGC	RGC	official SCP2805 broad-class mapping
official majorclass	official majorclass	RPE	RPE	official SCP2805 broad-class mapping
official majorclass	official majorclass	Rod	rods	official SCP2805 broad-class mapping
