broad_class	AMD	POAG	RE
Muller glia	0.434222171412466	1.3725850316514092	1.324089524117136
RGC	-0.4143097185692103	-0.03125079910246671	-0.09982055329040179
amacrine cells	-0.7375212921609171	-0.46484468712363497	0.9598475057226681
astrocytes	0.1932830021840933	1.828728202252482	1.0631475985284526
bipolar cells	-0.45186313725382315	-0.55335685360185	-0.8448673866054359
cones	-0.3137608719907152	-0.5408655417538525	-0.9445573304261898
horizontal cells	-0.7360047054002378	-0.899873932942697	-0.8549654072446131
microglia	2.455531877753641	0.31277566675431756	0.6114017122903248
rods	-0.4295773259752971	-1.023897086133708	-1.2142756630919407
