trait	broad_class	n_donors	n_cells	n_other_cells	mean_donor_delta	SE_x	CI95_lower	CI95_upper	median_donor_delta	donors_delta_gt_0	donors_delta_lt_0	donor_direction_fraction_positive	primary_t_p	sign_flip_p	normality_shapiro_p	parametric_test_status	bootstrap_median	bootstrap_CI95_lower	bootstrap_CI95_upper	bootstrap_fraction_gt_0	global_broad_FDR	within_trait_FDR	status	loo_positive_fraction	loo_n_estimable	leave_one_donor_stability	assoc_mcz	group_FDR	beta	SE_y	magma_p	magma_FDR	mapping_sensitivity_min_effect	mapping_sensitivity_direction_reversals	mapping_sensitivity_status	tier	confidence	robust_traits	cellular_convergence_classification
AMD	Muller glia	8	9534	89085	1.1001716136462685	0.12214674057340438	0.8113404686333842	1.389002758659153	1.036046420163264	8	0	1.0	4.244285477905855e-05	0.0078125	0.5686240095286392	PASS_FINITE_N_GE_5	1.100213531475617	0.8903539830823268	1.31859879498086	1.0	0.0002069388048756577	0.0003819856930115269	PASS	1.0	8	POSITIVE_IN_ALL_OR_NEARLY_ALL	3.0906994	0.005394605244509876	0.018498	0.010979	0.046021	0.17750957142857143	1.0815025533726814	0	PASS	TIER1_BROAD_CLASS	MODERATE_CONFIDENCE	AMD;POAG;RE	PAN_TRAIT_CONVERGENT
AMD	RGC	1	172	9929	-0.0502514051160671				-0.0502514051160671	0	1	0.0				INSUFFICIENT_DONORS					1.0	1.0	INSUFFICIENT_DONORS		0	UNSTABLE_OR_NOT_ESTIMABLE	0.1572117	0.7083968818187714	-0.0080762	0.0096147	0.79953	0.99976		0	NOT_ESTIMABLE	NONE	NULL/UNSUPPORTED	none	NO_ROBUST_SIGNAL
AMD	amacrine cells	8	18300	80319	-0.4884553648969135	0.10944348084166489	-0.7472480738738445	-0.22966265591998242	-0.4313838736805208	1	7	0.125	0.0029251765933770856	0.015625	0.37063526806032465	PASS_FINITE_N_GE_5	-0.4925141310153014	-0.679582975540608	-0.2734344822019443	0.0	0.009872471002647664	0.013163294670196885	PASS	0.0	8	UNSTABLE_OR_NOT_ESTIMABLE	-1.3766949	0.9670329689979553	-0.029687	0.01306	0.98848	0.99976	-0.48018021652326953	0	PASS	NONE	EXPLORATORY	RE	RE_SPECIFIC
AMD	astrocytes	4	248	56365	0.7735109781717675	0.1520464264759527	0.28963139000169646	1.2573905663418385	0.8812823110120921	4	0	1.0				INSUFFICIENT_DONORS					1.0	1.0	INSUFFICIENT_DONORS	1.0	0	POSITIVE_IN_ALL_OR_NEARLY_ALL	1.9907618	0.11688311398029327	0.012749	0.0097291	0.095036	0.3207465		0	NOT_ESTIMABLE	NONE	NULL/UNSUPPORTED	none	NO_ROBUST_SIGNAL
AMD	bipolar cells	8	21783	76836	-0.10116559914704346	0.08139089393089231	-0.2936244807948474	0.09129328250076049	-0.04172016593447546	3	5	0.375	0.25389924993119484	0.28125	0.7754849759674525	PASS_FINITE_N_GE_5	-0.09773878294711602	-0.25822286582152254	0.038531111800344284	0.0932	0.5273292113955586	0.5712733123451884	PASS	0.0	8	UNSTABLE_OR_NOT_ESTIMABLE	-0.09537316	0.7296203434467315	-0.027712	0.013509	0.97988	0.99976	-0.0977012201154389	0	PASS	NONE	NULL/UNSUPPORTED	none	NO_ROBUST_SIGNAL
AMD	cones	8	1636	96983	0.08607076377307302	0.12439369357236607	-0.2080735807933453	0.38021510833949135	0.045185261580072314	5	3	0.625	0.5112768659532131	0.734375	0.004761934148263982	PASS_FINITE_N_GE_5	0.07789126845580463	-0.09633772410270351	0.346753388733971	0.7328	0.9202983587157836	0.9202983587157835	PASS	0.875	8	POSITIVE_IN_ALL_OR_NEARLY_ALL	0.07644975	0.7083968818187714	0.0031399	0.01019	0.37899	0.7871330769230769	0.0879927474474381	0	PASS	NONE	NULL/UNSUPPORTED	none	NO_ROBUST_SIGNAL
AMD	horizontal cells	7	916	89952	-0.48639920608893583	0.1304292219109971	-0.8055480149185716	-0.16725039725929997	-0.5553084839818523	1	6	0.14285714285714285	0.009745644354789543	0.03125	0.3581673564317271	PASS_FINITE_N_GE_5	-0.48787273340498544	-0.718370912777419	-0.2436620708484111	0.0002	0.02192769979827647	0.029236933064368628	PASS	0.0	7	UNSTABLE_OR_NOT_ESTIMABLE	0.0008634026	0.7083968818187714	-0.019861	0.010999	0.9645	0.99976	-0.48184712692857146	0	PASS	NONE	EXPLORATORY	none	NO_ROBUST_SIGNAL
AMD	microglia	3	173	35797	3.8406239663243036	0.7506190924754456	0.6109706791227869	7.07027725352582	4.040481834454299	3	0	1.0				INSUFFICIENT_DONORS					1.0	1.0	INSUFFICIENT_DONORS	1.0	0	POSITIVE_IN_ALL_OR_NEARLY_ALL	7.044669	0.005394605244509876	0.013621	0.0067737	0.022182	0.11978280000000001		0	NOT_ESTIMABLE	NONE	EXPLORATORY	none	NO_ROBUST_SIGNAL
AMD	rods	8	45857	52762	-0.07095093003523992	0.1600175156263097	-0.4493322281648392	0.3074303680943593	-0.10859092465207039	3	5	0.375	0.6708606039661014	0.6640625	0.3304402141450587	PASS_FINITE_N_GE_5	-0.07514610572155797	-0.33173748247860324	0.23784836453294328	0.3094	1.0	1.0	PASS	0.0	8	UNSTABLE_OR_NOT_ESTIMABLE	-0.051417705	0.7083968818187714	-0.0038364	0.010981	0.63659	0.99976	-0.05828336146907476	1	SEVERE_SENSITIVITY_FAILURE	NONE	NULL/UNSUPPORTED	none	NO_ROBUST_SIGNAL
POAG	Muller glia	8	9534	89085	1.9826403899095328	0.07748657202701295	1.799413762521667	2.1658670172973986	2.029089831189231	8	0	1.0	3.558617639787802e-08	0.0078125	0.4615171786410538	PASS_FINITE_N_GE_5	1.9837553802160552	1.841855412629304	2.124302879616744	1.0	9.608267627427065e-07	3.2027558758090217e-07	PASS	1.0	8	POSITIVE_IN_ALL_OR_NEARLY_ALL	4.0621414	0.005394605244509876	0.041055	0.010302	3.3919e-05	0.00045790649999999996	1.992941170375	0	PASS	TIER1_BROAD_CLASS	HIGH_CONFIDENCE	AMD;POAG;RE	PAN_TRAIT_CONVERGENT
