lineage	qualifying_traits	broad_evidence	fine_state_donor_support	fine_states_ready	state_analysis_eligibility	priority_rank
Muller glia	AMD;POAG;RE	AMD:TIER1_BROAD_CLASS;POAG:TIER1_BROAD_CLASS;RE:TIER1_BROAD_CLASS	8	CL:0000636	STATE_ANALYSIS_ELIGIBLE	1.0
RGC	none	none	6	CL:0000740;CL:4033047	NOT_STATE_ANALYSIS_ELIGIBLE	
amacrine cells	RE	RE:TIER1_BROAD_CLASS	8	CL:0000561;CL:0004232;CL:4030027;CL:4030028	STATE_ANALYSIS_ELIGIBLE	2.0
astrocytes	none	none	6	CL:0000127	NOT_STATE_ANALYSIS_ELIGIBLE	
bipolar cells	none	none	8	CL:0000748;CL:0000751;CL:4033019;CL:4033027;CL:4033028;CL:4033029;CL:4033030;CL:4033031;CL:4033032;CL:4033033;CL:4033034;CL:4033035;CL:4033036	NOT_STATE_ANALYSIS_ELIGIBLE	
cones	none	none	8	CL:0000573;CL:0003050	NOT_STATE_ANALYSIS_ELIGIBLE	
horizontal cells	none	none	8	CL:0004217;CL:0004218	NOT_STATE_ANALYSIS_ELIGIBLE	
microglia	none	none	8	CL:0000129	NOT_STATE_ANALYSIS_ELIGIBLE	
rods	none	none	8	CL:0000604	NOT_STATE_ANALYSIS_ELIGIBLE	
