trait	broad_class	sensitivity	donors	excluded_donor_or_rule	effect	primary_effect	direction_reversal	status
AMD	Muller glia	A_TOP_75_PERCENT_MAPPING	6	top_75_percent_mapping	1.0815025533726814	1.1001716136462685	False	PASS
AMD	Muller glia	B_EXCLUDE_LOWEST_MAPPING	7	D027-13	1.1207428484748205	1.1001716136462685	False	PASS
AMD	Muller glia	C_MEDIAN_DONOR_CLASS_SCORE	8	median_score	1.099866309625	1.1001716136462685	False	PASS
AMD	RGC	A_TOP_75_PERCENT_MAPPING	1	top_75_percent_mapping	-0.0502514051160671	-0.0502514051160671	False	NOT_ESTIMABLE
AMD	RGC	B_EXCLUDE_LOWEST_MAPPING	1	D027-13	-0.0502514051160671	-0.0502514051160671	False	NOT_ESTIMABLE
AMD	RGC	C_MEDIAN_DONOR_CLASS_SCORE	1	median_score	0.04201716	-0.0502514051160671	True	NOT_ESTIMABLE
AMD	amacrine cells	A_TOP_75_PERCENT_MAPPING	6	top_75_percent_mapping	-0.48018021652326953	-0.4884553648969135	False	PASS
AMD	amacrine cells	B_EXCLUDE_LOWEST_MAPPING	7	D027-13	-0.463175809989225	-0.4884553648969135	False	PASS
AMD	amacrine cells	C_MEDIAN_DONOR_CLASS_SCORE	8	median_score	-0.45314256243749995	-0.4884553648969135	False	PASS
AMD	astrocytes	A_TOP_75_PERCENT_MAPPING	2	top_75_percent_mapping	0.6657396453314428	0.7735109781717675	False	NOT_ESTIMABLE
AMD	astrocytes	B_EXCLUDE_LOWEST_MAPPING	3	D027-13	0.7260856326974019	0.7735109781717675	False	NOT_ESTIMABLE
AMD	astrocytes	C_MEDIAN_DONOR_CLASS_SCORE	4	median_score	0.7705167850000001	0.7735109781717675	False	NOT_ESTIMABLE
AMD	bipolar cells	A_TOP_75_PERCENT_MAPPING	6	top_75_percent_mapping	-0.0977012201154389	-0.10116559914704346	False	PASS
AMD	bipolar cells	B_EXCLUDE_LOWEST_MAPPING	7	D027-13	-0.08789249878547122	-0.10116559914704346	False	PASS
AMD	bipolar cells	C_MEDIAN_DONOR_CLASS_SCORE	8	median_score	-0.07917175962499999	-0.10116559914704346	False	PASS
AMD	cones	A_TOP_75_PERCENT_MAPPING	6	top_75_percent_mapping	0.13147649068038153	0.08607076377307302	False	PASS
AMD	cones	B_EXCLUDE_LOWEST_MAPPING	7	D027-13	0.0879927474474381	0.08607076377307302	False	PASS
AMD	cones	C_MEDIAN_DONOR_CLASS_SCORE	8	median_score	0.13403867149999998	0.08607076377307302	False	PASS
AMD	horizontal cells	A_TOP_75_PERCENT_MAPPING	5	top_75_percent_mapping	-0.4472807988664913	-0.48639920608893583	False	PASS
AMD	horizontal cells	B_EXCLUDE_LOWEST_MAPPING	6	D027-13	-0.43267233224918766	-0.48639920608893583	False	PASS
AMD	horizontal cells	C_MEDIAN_DONOR_CLASS_SCORE	7	median_score	-0.48184712692857146	-0.48639920608893583	False	PASS
AMD	microglia	A_TOP_75_PERCENT_MAPPING	2	top_75_percent_mapping	3.246319527856955	3.8406239663243036	False	NOT_ESTIMABLE
AMD	microglia	B_EXCLUDE_LOWEST_MAPPING	3	D027-13	3.8406239663243036	3.8406239663243036	False	NOT_ESTIMABLE
AMD	microglia	C_MEDIAN_DONOR_CLASS_SCORE	3	median_score	3.8872911633333334	3.8406239663243036	False	NOT_ESTIMABLE
AMD	rods	A_TOP_75_PERCENT_MAPPING	6	top_75_percent_mapping	0.02634339357311788	-0.07095093003523992	True	PASS
