harmonized_broad_class	cells	donors	samples	min_cells_per_donor	median_cells_per_donor	max_donor_fraction	annotation_source_fraction	support
Muller glia	9534	8	8	135	1339.5	0.2305433186490455	1.0	PRIMARY_SUPPORTED
RGC	239	6	6	0	11.0	0.7196652719665272	1.0	PRIMARY_SUPPORTED
amacrine cells	18300	8	8	478	993.0	0.36540983606557376	1.0	PRIMARY_SUPPORTED
astrocytes	278	6	6	0	29.0	0.42805755395683454	1.0	PRIMARY_SUPPORTED
bipolar cells	21783	8	8	133	1864.0	0.4644447504935041	1.0	PRIMARY_SUPPORTED
cones	1636	8	8	56	199.0	0.2658924205378973	1.0	PRIMARY_SUPPORTED
horizontal cells	941	8	8	25	105.5	0.3018065887353879	1.0	PRIMARY_SUPPORTED
microglia	266	8	8	13	25.0	0.36466165413533835	1.0	PRIMARY_SUPPORTED
rods	45857	8	8	1006	6847.0	0.19347100769784328	1.0	PRIMARY_SUPPORTED
