broad_class	n_cell	n_ctrl	assoc_mcp	assoc_mcz	hetero_mcp	hetero_mcz	n_fdr_0.05	n_fdr_0.1	n_fdr_0.2	trait	runtime_warnings	group_FDR
RGC	239.0	1000.0	0.077922076	1.6251638	0.16283716	0.9717683	0.0	0.0	0.0	POAG	FutureWarning: The default of observed=False is deprecated and will be changed to True in a future version of pandas. Pass observed=False to retain current behavior or observed=True to adopt the future default and silence this warning.	0.1912632774222981
amacrine cells	18300.0	1000.0	0.4975025	-0.05440889	0.25474524	0.60087246	3.0	7.0	60.0	POAG	FutureWarning: The default of observed=False is deprecated and will be changed to True in a future version of pandas. Pass observed=False to retain current behavior or observed=True to adopt the future default and silence this warning.	0.7083968818187714
astrocytes	278.0	1000.0	0.000999001	5.7847614	0.017982017	2.377361	21.0	39.0	97.0	POAG	FutureWarning: The default of observed=False is deprecated and will be changed to True in a future version of pandas. Pass observed=False to retain current behavior or observed=True to adopt the future default and silence this warning.	0.005394605244509876
bipolar cells	21783.0	1000.0	0.46653345	-0.000113162445	0.03196803	2.2809174	2.0	7.0	59.0	POAG	FutureWarning: The default of observed=False is deprecated and will be changed to True in a future version of pandas. Pass observed=False to retain current behavior or observed=True to adopt the future default and silence this warning.	0.7083968818187714
cones	1636.0	1000.0	0.46953046	-0.00039697005	0.045954045	1.9399995	0.0	0.0	0.0	POAG	FutureWarning: The default of observed=False is deprecated and will be changed to True in a future version of pandas. Pass observed=False to retain current behavior or observed=True to adopt the future default and silence this warning.	0.7083968818187714
horizontal cells	941.0	1000.0	0.66433567	-0.47498134	0.04195804	1.9643624	0.0	0.0	0.0	POAG	FutureWarning: The default of observed=False is deprecated and will be changed to True in a future version of pandas. Pass observed=False to retain current behavior or observed=True to adopt the future default and silence this warning.	0.8153210471976887
microglia	266.0	1000.0	0.015984016	2.4995658	0.010989011	2.8080375	0.0	0.0	12.0	POAG	FutureWarning: The default of observed=False is deprecated and will be changed to True in a future version of pandas. Pass observed=False to retain current behavior or observed=True to adopt the future default and silence this warning.	0.05394605244509876
rods	45857.0	1000.0	0.96703297	-1.8592116	0.04795205	2.000507	0.0	11.0	61.0	POAG	FutureWarning: The default of observed=False is deprecated and will be changed to True in a future version of pandas. Pass observed=False to retain current behavior or observed=True to adopt the future default and silence this warning.	0.9670329689979553
Muller glia	9534.0	1000.0	0.001998002	3.4650247	0.007992008	3.3256557	79.0	287.0	885.0	RE	FutureWarning: The default of observed=False is deprecated and will be changed to True in a future version of pandas. Pass observed=False to retain current behavior or observed=True to adopt the future default and silence this warning.	0.008991008740849793
RGC	239.0	1000.0	0.15884116	0.98102283	0.002997003	3.6381304	0.0	1.0	2.0	RE	FutureWarning: The default of observed=False is deprecated and will be changed to True in a future version of pandas. Pass observed=False to retain current behavior or observed=True to adopt the future default and silence this warning.	0.3573926165699959
amacrine cells	18300.0	1000.0	0.000999001	5.0882826	0.001998002	3.6350918	44.0	237.0	843.0	RE	FutureWarning: The default of observed=False is deprecated and will be changed to True in a future version of pandas. Pass observed=False to retain current behavior or observed=True to adopt the future default and silence this warning.	0.005394605244509876
astrocytes	278.0	1000.0	0.00999001	2.6527853	0.055944055	1.8145827	0.0	3.0	17.0	RE	FutureWarning: The default of observed=False is deprecated and will be changed to True in a future version of pandas. Pass observed=False to retain current behavior or observed=True to adopt the future default and silence this warning.	0.03853289729782513
bipolar cells	21783.0	1000.0	0.93206793	-1.5190146	0.4105894	0.017571794	0.0	1.0	17.0	RE	FutureWarning: The default of observed=False is deprecated and will be changed to True in a future version of pandas. Pass observed=False to retain current behavior or observed=True to adopt the future default and silence this warning.	0.9670329689979553
cones	1636.0	1000.0	0.74725276	-0.71997255	0.003996004	4.200444	0.0	0.0	3.0	RE	FutureWarning: The default of observed=False is deprecated and will be changed to True in a future version of pandas. Pass observed=False to retain current behavior or observed=True to adopt the future default and silence this warning.	0.8772097644598588
horizontal cells	941.0	1000.0	0.6023976	-0.2709436	0.000999001	4.9475813	0.0	0.0	1.0	RE	FutureWarning: The default of observed=False is deprecated and will be changed to True in a future version of pandas. Pass observed=False to retain current behavior or observed=True to adopt the future default and silence this warning.	0.7745112265859332
microglia	266.0	1000.0	0.050949052	1.8159099	0.08691309	1.3763052	1.0	1.0	5.0	RE	FutureWarning: The default of observed=False is deprecated and will be changed to True in a future version of pandas. Pass observed=False to retain current behavior or observed=True to adopt the future default and silence this warning.	0.13756244033575057
rods	45857.0	1000.0	0.94505495	-1.5140477	0.001998002	7.136238	2.0	12.0	88.0	RE	FutureWarning: The default of observed=False is deprecated and will be changed to True in a future version of pandas. Pass observed=False to retain current behavior or observed=True to adopt the future default and silence this warning.	0.9670329689979553
