broad_class	n_cell	n_ctrl	assoc_mcp	assoc_mcz	hetero_mcp	hetero_mcz	n_fdr_0.05	n_fdr_0.1	n_fdr_0.2	trait	runtime_warnings	group_FDR
Muller glia	9534.0	1000.0	0.000999001	3.0906994	0.004995005	4.3012533	41.0	78.0	163.0	AMD	FutureWarning: The default of observed=False is deprecated and will be changed to True in a future version of pandas. Pass observed=False to retain current behavior or observed=True to adopt the future default and silence this warning.	0.005394605244509876
RGC	239.0	1000.0	0.4125874	0.1572117	0.1028971	1.329996	0.0	0.0	0.0	AMD	FutureWarning: The default of observed=False is deprecated and will be changed to True in a future version of pandas. Pass observed=False to retain current behavior or observed=True to adopt the future default and silence this warning.	0.7083968818187714
amacrine cells	18300.0	1000.0	0.92907095	-1.3766949	0.08191808	1.4867281	2.0	4.0	7.0	AMD	FutureWarning: The default of observed=False is deprecated and will be changed to True in a future version of pandas. Pass observed=False to retain current behavior or observed=True to adopt the future default and silence this warning.	0.9670329689979553
astrocytes	278.0	1000.0	0.038961038	1.9907618	0.03696304	2.0255432	0.0	1.0	3.0	AMD	FutureWarning: The default of observed=False is deprecated and will be changed to True in a future version of pandas. Pass observed=False to retain current behavior or observed=True to adopt the future default and silence this warning.	0.11688311398029327
bipolar cells	21783.0	1000.0	0.5404595	-0.09537316	0.47152847	-0.11498463	3.0	7.0	20.0	AMD	FutureWarning: The default of observed=False is deprecated and will be changed to True in a future version of pandas. Pass observed=False to retain current behavior or observed=True to adopt the future default and silence this warning.	0.7296203434467315
cones	1636.0	1000.0	0.45454547	0.07644975	0.09090909	1.3878008	0.0	0.0	0.0	AMD	FutureWarning: The default of observed=False is deprecated and will be changed to True in a future version of pandas. Pass observed=False to retain current behavior or observed=True to adopt the future default and silence this warning.	0.7083968818187714
horizontal cells	941.0	1000.0	0.47252747	0.0008634026	0.002997003	4.228223	0.0	0.0	0.0	AMD	FutureWarning: The default of observed=False is deprecated and will be changed to True in a future version of pandas. Pass observed=False to retain current behavior or observed=True to adopt the future default and silence this warning.	0.7083968818187714
microglia	266.0	1000.0	0.000999001	7.044669	0.000999001	6.5055733	97.0	122.0	158.0	AMD	FutureWarning: The default of observed=False is deprecated and will be changed to True in a future version of pandas. Pass observed=False to retain current behavior or observed=True to adopt the future default and silence this warning.	0.005394605244509876
rods	45857.0	1000.0	0.4985015	-0.051417705	0.002997003	4.5026894	6.0	19.0	54.0	AMD	FutureWarning: The default of observed=False is deprecated and will be changed to True in a future version of pandas. Pass observed=False to retain current behavior or observed=True to adopt the future default and silence this warning.	0.7083968818187714
Muller glia	9534.0	1000.0	0.000999001	4.0621414	0.1878122	0.69408137	102.0	371.0	1180.0	POAG	FutureWarning: The default of observed=False is deprecated and will be changed to True in a future version of pandas. Pass observed=False to retain current behavior or observed=True to adopt the future default and silence this warning.	0.005394605244509876
