donor_id	broad_class	cells	library_size
17D013	Muller glia	135	626726.0
17D013	amacrine cells	5260	38932112.0
17D013	bipolar cells	133	693442.0
17D013	cones	56	329974.0
17D013	rods	2167	8215446.0
19-D007	Muller glia	1526	6776723.0
19-D007	amacrine cells	6687	48043546.0
19-D007	astrocytes	119	489841.0
19-D007	bipolar cells	10117	38822579.0
19-D007	cones	83	578094.0
19-D007	horizontal cells	136	711543.0
19-D007	rods	1006	3464703.0
19-D009	Muller glia	767	4138236.0
19-D009	amacrine cells	478	3519373.0
19-D009	bipolar cells	1401	7377409.0
19-D009	cones	189	1788855.0
19-D009	horizontal cells	107	1179971.0
19-D009	rods	6310	22557590.0
19-D010	Muller glia	2198	8226445.0
19-D010	amacrine cells	1115	4798766.0
19-D010	bipolar cells	1835	5980055.0
19-D010	cones	183	1039104.0
19-D010	horizontal cells	104	458316.0
19-D010	microglia	35	78348.0
19-D010	rods	7384	21259754.0
D005-13	Muller glia	1438	8899401.0
D005-13	amacrine cells	662	4994366.0
D005-13	astrocytes	48	278187.0
D005-13	bipolar cells	1741	10306649.0
D005-13	cones	209	2076174.0
D005-13	horizontal cells	138	1439591.0
D005-13	microglia	41	151029.0
D005-13	rods	8738	39466952.0
D009-13	Muller glia	1241	9490705.0
D009-13	RGC	172	4964771.0
D009-13	amacrine cells	2575	33801443.0
D009-13	astrocytes	49	326183.0
D009-13	bipolar cells	1893	13321475.0
D009-13	cones	249	3027762.0
D009-13	horizontal cells	53	686388.0
D009-13	microglia	97	315476.0
D009-13	rods	3772	21659259.0
D027-13	Muller glia	1571	8194611.0
D027-13	amacrine cells	652	4136474.0
D027-13	astrocytes	32	176154.0
D027-13	bipolar cells	2370	11350644.0
D027-13	cones	232	2037049.0
D027-13	horizontal cells	94	694807.0
D027-13	rods	8872	39534520.0
D030-13	Muller glia	658	3478907.0
D030-13	amacrine cells	871	8405619.0
D030-13	bipolar cells	2293	13517066.0
D030-13	cones	435	3897841.0
D030-13	horizontal cells	284	2788264.0
D030-13	rods	7608	32168989.0
