sample_id	donor	state	n_cells
17D013__MG_state_01	17D013	MG_state_01	110
17D013__MG_state_02	17D013	MG_state_02	3
17D013__MG_state_04	17D013	MG_state_04	9
17D013__MG_state_05	17D013	MG_state_05	7
17D013__MG_state_06	17D013	MG_state_06	5
17D013__MG_state_07	17D013	MG_state_07	1
19-D007__MG_state_01	19-D007	MG_state_01	1379
19-D007__MG_state_02	19-D007	MG_state_02	5
19-D007__MG_state_04	19-D007	MG_state_04	4
19-D007__MG_state_05	19-D007	MG_state_05	74
19-D007__MG_state_06	19-D007	MG_state_06	4
19-D007__MG_state_07	19-D007	MG_state_07	34
19-D007__MG_state_08	19-D007	MG_state_08	3
19-D007__MG_state_09	19-D007	MG_state_09	20
19-D007__MG_state_10	19-D007	MG_state_10	3
19-D009__MG_state_01	19-D009	MG_state_01	5
19-D009__MG_state_02	19-D009	MG_state_02	3
19-D009__MG_state_05	19-D009	MG_state_05	3
19-D009__MG_state_06	19-D009	MG_state_06	11
19-D009__MG_state_07	19-D009	MG_state_07	1
19-D009__MG_state_08	19-D009	MG_state_08	4
19-D009__MG_state_09	19-D009	MG_state_09	740
19-D010__MG_state_01	19-D010	MG_state_01	5
19-D010__MG_state_02	19-D010	MG_state_02	1
19-D010__MG_state_04	19-D010	MG_state_04	1081
19-D010__MG_state_05	19-D010	MG_state_05	17
19-D010__MG_state_06	19-D010	MG_state_06	1070
19-D010__MG_state_07	19-D010	MG_state_07	19
19-D010__MG_state_08	19-D010	MG_state_08	2
19-D010__MG_state_09	19-D010	MG_state_09	3
D005-13__MG_state_03	D005-13	MG_state_03	1
D005-13__MG_state_05	D005-13	MG_state_05	2
D005-13__MG_state_08	D005-13	MG_state_08	1432
D005-13__MG_state_11	D005-13	MG_state_11	3
D009-13__MG_state_01	D009-13	MG_state_01	6
D009-13__MG_state_02	D009-13	MG_state_02	2
D009-13__MG_state_04	D009-13	MG_state_04	1
D009-13__MG_state_05	D009-13	MG_state_05	1017
D009-13__MG_state_07	D009-13	MG_state_07	24
D009-13__MG_state_08	D009-13	MG_state_08	3
D009-13__MG_state_10	D009-13	MG_state_10	186
D009-13__MG_state_11	D009-13	MG_state_11	2
D027-13__MG_state_01	D027-13	MG_state_01	4
D027-13__MG_state_03	D027-13	MG_state_03	334
D027-13__MG_state_04	D027-13	MG_state_04	1
D027-13__MG_state_05	D027-13	MG_state_05	51
D027-13__MG_state_06	D027-13	MG_state_06	3
D027-13__MG_state_07	D027-13	MG_state_07	2
D027-13__MG_state_08	D027-13	MG_state_08	24
D027-13__MG_state_09	D027-13	MG_state_09	1
D027-13__MG_state_11	D027-13	MG_state_11	1151
D030-13__MG_state_01	D030-13	MG_state_01	1
D030-13__MG_state_02	D030-13	MG_state_02	644
D030-13__MG_state_05	D030-13	MG_state_05	5
D030-13__MG_state_06	D030-13	MG_state_06	1
D030-13__MG_state_08	D030-13	MG_state_08	1
D030-13__MG_state_09	D030-13	MG_state_09	6
