resolution	mode	replicate	ARI_vs_reference	NMI_vs_reference	cluster_count	smallest_cluster_size	min_donor_representation	max_donor_fraction
0.2	full_seed	0	1.0	1.0	7	649	4	0.9959973315543695
0.2	full_seed	1	0.8953362676245131	0.9350917407422654	6	655	3	0.9966442953020134
0.2	full_seed	2	0.8967660093533856	0.9380728962983779	6	643	4	0.9946843853820598
0.2	80_percent_subsample	0	0.8840959726316503	0.9209032681511753	6	504	5	0.9942291838417148
0.2	80_percent_subsample	1	0.8704839366872403	0.907277604546026	6	506	5	0.9925
0.2	80_percent_subsample	2	0.8685386505979514	0.90429189503524	6	530	5	0.9907094594594594
0.2	donor_balanced_80_percent	0	0.5805961272686345	0.7505465718845759	5	107	1	1.0
0.2	donor_balanced_80_percent	1	0.4591581686536116	0.6688390558377827	4	108	3	0.9814814814814815
0.4	full_seed	0	1.0	1.0	11	81	2	0.9970149253731343
0.4	full_seed	1	0.95025923548126	0.9643977057063526	10	82	2	0.9970149253731343
0.4	full_seed	2	0.9839673997148858	0.9822978706591502	11	81	2	0.9970149253731343
0.4	80_percent_subsample	0	0.912558714194055	0.9298261266558765	10	62	2	0.9932829554995802
0.4	80_percent_subsample	1	0.9248414035125633	0.938170775014354	10	71	3	0.9958471760797342
0.4	80_percent_subsample	2	0.9239803550698359	0.9365083400699054	10	62	3	0.989937106918239
0.4	donor_balanced_80_percent	0	0.7137948027991232	0.7947729673420346	8	66	2	0.9903846153846154
0.4	donor_balanced_80_percent	1	0.7786264604419637	0.8309112123867586	7	95	2	0.9905660377358491
0.6	full_seed	0	1.0	1.0	13	83	2	0.9970238095238095
0.6	full_seed	1	0.9188447985254118	0.9579453497466479	12	83	2	0.9970238095238095
0.6	full_seed	2	0.8942957752689186	0.942947591967755	11	82	2	0.9970238095238095
0.6	80_percent_subsample	0	0.9193863523533993	0.9303057024994624	12	56	2	0.9935414424111948
0.6	80_percent_subsample	1	0.8444189024836324	0.8896719549259782	11	67	2	0.9961089494163424
0.6	80_percent_subsample	2	0.8758893489745511	0.918371374396154	11	51	2	0.9962962962962963
0.6	donor_balanced_80_percent	0	0.7002345127820706	0.79477288505743	9	41	2	0.9902912621359223
0.6	donor_balanced_80_percent	1	0.7722291437253817	0.8385330407807925	9	43	1	1.0
0.8	full_seed	0	1.0	1.0	13	82	2	0.9970501474926253
0.8	full_seed	1	0.9814481602309783	0.9809815427071583	13	83	2	0.9970501474926253
0.8	full_seed	2	0.9697045886522938	0.9730635937996539	13	83	2	0.9970501474926253
0.8	80_percent_subsample	0	0.9356286538027525	0.9365348114983063	13	68	2	0.9978655282817502
0.8	80_percent_subsample	1	0.9432018741063226	0.9419487175193265	13	72	2	0.9935064935064936
0.8	80_percent_subsample	2	0.9331576045907413	0.9372917446818922	12	51	1	1.0
0.8	donor_balanced_80_percent	0	0.7414003386099078	0.8128885456628233	10	48	1	1.0
0.8	donor_balanced_80_percent	1	0.72937481375536	0.8031078551371532	10	19	1	1.0
