state	donor	cells	state_total_cells	donor_total_muller_cells	donors_in_state	donor_fraction_of_state	state_fraction_of_donor	age	region	mean_total_counts	mean_n_genes	mean_pct_counts_mt	state_donor_status	state_eligible
MG_state_01	17D013	110	1510	135	7	0.0728476821192053	0.8148148148148148		from GSE manifest	4537.209090909091	1931.1909090909091	0.08956756818796281	PASS	False
MG_state_01	19-D007	1379	1510	1526	7	0.9132450331125828	0.9036697247706422		from GSE manifest	4485.838288614938	2122.962291515591	0.04052952350987404	PASS	False
MG_state_01	19-D009	5	1510	767	7	0.0033112582781456954	0.00651890482398957		from GSE manifest	5696.2	2377.8	0.04936010012003089	INSUFFICIENT_STATE_CELLS	False
MG_state_01	19-D010	5	1510	2198	7	0.0033112582781456954	0.0022747952684258415		from GSE manifest	4025.0	1921.0	0.011860609947668313	INSUFFICIENT_STATE_CELLS	False
MG_state_01	D009-13	6	1510	1241	7	0.003973509933774834	0.004834810636583401		from GSE manifest	6210.166666666667	2362.3333333333335	0.25688890382901847	INSUFFICIENT_STATE_CELLS	False
MG_state_01	D027-13	4	1510	1571	7	0.0026490066225165563	0.002546148949713558		from GSE manifest	6625.75	2796.25	0.06171336185996268	INSUFFICIENT_STATE_CELLS	False
MG_state_01	D030-13	1	1510	658	7	0.0006622516556291391	0.001519756838905775		from GSE manifest	1038.0	776.0	0.09633911368015415	INSUFFICIENT_STATE_CELLS	False
MG_state_02	17D013	3	658	135	6	0.004559270516717325	0.022222222222222223		from GSE manifest	5986.0	2436.0	0.10775729633824892	INSUFFICIENT_STATE_CELLS	False
MG_state_02	19-D007	5	658	1526	6	0.007598784194528876	0.00327653997378768		from GSE manifest	3425.6	1616.2	0.0824567628633972	INSUFFICIENT_STATE_CELLS	False
MG_state_02	19-D009	3	658	767	6	0.004559270516717325	0.003911342894393742		from GSE manifest	3365.6666666666665	1662.6666666666667	0.09503194791312902	INSUFFICIENT_STATE_CELLS	False
MG_state_02	19-D010	1	658	2198	6	0.001519756838905775	0.00045495905368516835		from GSE manifest	2576.0	1269.0	0.0	INSUFFICIENT_STATE_CELLS	False
MG_state_02	D009-13	2	658	1241	6	0.00303951367781155	0.0016116035455278		from GSE manifest	1284.5	848.5	0.5181915554156091	INSUFFICIENT_STATE_CELLS	False
MG_state_02	D030-13	644	658	658	6	0.9787234042553191	0.9787234042553191		from GSE manifest	5277.993788819876	2472.166149068323	0.14293770984960696	PASS	False
MG_state_03	D005-13	1	335	1438	2	0.0029850746268656717	0.0006954102920723226		from GSE manifest	6879.0	2923.0	0.04361098996947231	INSUFFICIENT_STATE_CELLS	False
MG_state_03	D027-13	334	335	1571	2	0.9970149253731343	0.2126034373010821		from GSE manifest	5216.317365269461	2502.9700598802397	0.14959632122720484	PASS	False
MG_state_04	17D013	9	1096	135	5	0.008211678832116789	0.06666666666666667		from GSE manifest	4825.0	2087.777777777778	0.11505320402561812	INSUFFICIENT_STATE_CELLS	False
MG_state_04	19-D007	4	1096	1526	5	0.0036496350364963502	0.002621231979030144		from GSE manifest	4546.75	2326.25	0.06370989013772234	INSUFFICIENT_STATE_CELLS	False
