gene	hvg_candidate	excluded_disease_union	excluded_mitochondrial	excluded_ribosomal	excluded_technical	retained_for_state_discovery	reason	in_AMD_top1000	in_POAG_top1000	in_RE_top1000
MIR1302-2HG	False	False	False	False	False	False	not_HVG	False	False	False
FAM138A	True	False	False	False	False	True	HVG_retained	False	False	False
OR4F5	False	False	False	False	False	False	not_HVG	False	False	False
AL627309.1	False	False	False	False	False	False	not_HVG	False	False	False
AL627309.3	True	False	False	False	False	True	HVG_retained	False	False	False
AL627309.2	False	False	False	False	False	False	not_HVG	False	False	False
AL627309.5	False	False	False	False	False	False	not_HVG	False	False	False
AL627309.4	False	False	False	False	False	False	not_HVG	False	False	False
AP006222.2	False	False	False	False	False	False	not_HVG	False	False	False
AL732372.1	False	False	False	False	False	False	not_HVG	False	False	False
OR4F29	False	False	False	False	False	False	not_HVG	False	False	False
AC114498.1	True	False	False	False	False	True	HVG_retained	False	False	False
OR4F16	False	False	False	False	False	False	not_HVG	False	False	False
AL669831.2	False	False	False	False	False	False	not_HVG	False	False	False
LINC01409	False	False	False	False	False	False	not_HVG	False	False	False
FAM87B	False	False	False	False	False	False	not_HVG	False	False	False
LINC01128	False	False	False	False	False	False	not_HVG	False	False	False
LINC00115	False	False	False	False	False	False	not_HVG	False	False	False
FAM41C	False	False	False	False	False	False	not_HVG	False	False	False
AL645608.6	False	False	False	False	False	False	not_HVG	False	False	False
AL645608.2	False	False	False	False	False	False	not_HVG	False	False	False
AL645608.4	False	False	False	False	False	False	not_HVG	False	False	False
LINC02593	False	False	False	False	False	False	not_HVG	False	False	False
SAMD11	False	False	False	False	False	False	not_HVG	False	False	False
NOC2L	False	False	False	False	False	False	not_HVG	False	False	False
KLHL17	False	False	False	False	False	False	not_HVG	False	False	False
PLEKHN1	False	False	False	False	False	False	not_HVG	False	False	False
PERM1	False	False	False	False	False	False	not_HVG	False	False	False
AL645608.7	False	False	False	False	False	False	not_HVG	False	False	False
HES4	True	False	False	False	False	True	HVG_retained	False	False	False
ISG15	False	False	False	False	False	False	not_HVG	False	False	False
AL645608.1	False	False	False	False	False	False	not_HVG	False	False	False
AGRN	False	False	False	False	False	False	not_HVG	False	False	False
AL645608.5	False	False	False	False	False	False	not_HVG	False	False	False
AL645608.8	False	False	False	False	False	False	not_HVG	False	False	False
RNF223	False	False	False	False	False	False	not_HVG	False	False	False
C1orf159	False	False	False	False	False	False	not_HVG	False	False	False
AL390719.3	False	False	False	False	False	False	not_HVG	False	False	False
LINC01342	True	False	False	False	False	True	HVG_retained	False	False	False
AL390719.2	False	False	False	False	False	False	not_HVG	False	False	False
TTLL10-AS1	False	False	False	False	False	False	not_HVG	False	False	False
TTLL10	False	False	False	False	False	False	not_HVG	False	False	False
TNFRSF18	False	False	False	False	False	False	not_HVG	False	False	False
TNFRSF4	False	False	False	False	False	False	not_HVG	False	False	False
SDF4	False	False	False	False	False	False	not_HVG	False	False	False
B3GALT6	False	False	False	False	False	False	not_HVG	False	False	False
C1QTNF12	False	False	False	False	False	False	not_HVG	False	False	False
AL162741.1	False	False	False	False	False	False	not_HVG	False	False	False
UBE2J2	False	True	False	False	False	False	not_HVG	False	True	False
LINC01786	False	False	False	False	False	False	not_HVG	False	False	False
SCNN1D	False	True	False	False	False	False	not_HVG	False	True	False
ACAP3	False	True	False	False	False	False	not_HVG	False	True	False
PUSL1	False	True	False	False	False	False	not_HVG	False	True	False
INTS11	False	False	False	False	False	False	not_HVG	False	False	False
AL139287.1	False	False	False	False	False	False	not_HVG	False	False	False
CPTP	False	False	False	False	False	False	not_HVG	False	False	False
TAS1R3	False	True	False	False	False	False	not_HVG	False	True	False
DVL1	False	True	False	False	False	False	not_HVG	False	True	False
MXRA8	False	True	False	False	False	False	not_HVG	False	True	False
AURKAIP1	False	True	False	False	False	False	not_HVG	False	True	False
CCNL2	False	True	False	False	False	False	not_HVG	False	True	False
MRPL20-AS1	False	False	False	False	False	False	not_HVG	False	False	False
MRPL20	False	True	False	False	False	False	not_HVG	False	True	False
AL391244.2	False	False	False	False	False	False	not_HVG	False	False	False
ANKRD65	False	True	False	False	False	False	not_HVG	False	True	False
AL391244.1	False	False	False	False	False	False	not_HVG	False	False	False
TMEM88B	False	True	False	False	False	False	not_HVG	False	True	False
LINC01770	False	False	False	False	False	False	not_HVG	False	False	False
VWA1	False	False	False	False	False	False	not_HVG	False	False	False
ATAD3C	False	False	False	False	False	False	not_HVG	False	False	False
ATAD3B	False	False	False	False	False	False	not_HVG	False	False	False
ATAD3A	False	False	False	False	False	False	not_HVG	False	False	False
TMEM240	False	False	False	False	False	False	not_HVG	False	False	False
SSU72	False	False	False	False	False	False	not_HVG	False	False	False
AL645728.1	False	False	False	False	False	False	not_HVG	False	False	False
FNDC10	False	False	False	False	False	False	not_HVG	False	False	False
AL691432.4	False	False	False	False	False	False	not_HVG	False	False	False
AL691432.2	False	False	False	False	False	False	not_HVG	False	False	False
MIB2	False	False	False	False	False	False	not_HVG	False	False	False
MMP23B	False	False	False	False	False	False	not_HVG	False	False	False
CDK11B	False	False	False	False	False	False	not_HVG	False	False	False
FO704657.1	False	False	False	False	False	False	not_HVG	False	False	False
SLC35E2B	False	False	False	False	False	False	not_HVG	False	False	False
CDK11A	False	False	False	False	False	False	not_HVG	False	False	False
SLC35E2A	False	False	False	False	False	False	not_HVG	False	False	False
NADK	False	False	False	False	False	False	not_HVG	False	False	False
GNB1	False	False	False	False	False	False	not_HVG	False	False	False
AL109917.1	False	False	False	False	False	False	not_HVG	False	False	False
CALML6	False	False	False	False	False	False	not_HVG	False	False	False
TMEM52	False	False	False	False	False	False	not_HVG	False	False	False
CFAP74	False	False	False	False	False	False	not_HVG	False	False	False
AL391845.2	False	False	False	False	False	False	not_HVG	False	False	False
GABRD	False	False	False	False	False	False	not_HVG	False	False	False
AL391845.1	False	False	False	False	False	False	not_HVG	False	False	False
PRKCZ	False	False	False	False	False	False	not_HVG	False	False	False
AL590822.2	False	False	False	False	False	False	not_HVG	False	False	False
PRKCZ-AS1	False	False	False	False	False	False	not_HVG	False	False	False
FAAP20	False	False	False	False	False	False	not_HVG	False	False	False
AL590822.1	False	False	False	False	False	False	not_HVG	False	False	False
SKI	False	False	False	False	False	False	not_HVG	False	False	False
AL590822.3	False	False	False	False	False	False	not_HVG	False	False	False
MORN1	False	False	False	False	False	False	not_HVG	False	False	False
AL589739.1	False	False	False	False	False	False	not_HVG	False	False	False
AL513477.2	False	False	False	False	False	False	not_HVG	False	False	False
RER1	False	False	False	False	False	False	not_HVG	False	False	False
PEX10	False	False	False	False	False	False	not_HVG	False	False	False
PLCH2	False	False	False	False	False	False	not_HVG	False	False	False
AL139246.1	False	False	False	False	False	False	not_HVG	False	False	False
AL139246.4	False	False	False	False	False	False	not_HVG	False	False	False
PANK4	False	False	False	False	False	False	not_HVG	False	False	False
HES5	True	False	False	False	False	True	HVG_retained	False	False	False
AL139246.5	True	False	False	False	False	True	HVG_retained	False	False	False
TNFRSF14-AS1	False	False	False	False	False	False	not_HVG	False	False	False
TNFRSF14	False	False	False	False	False	False	not_HVG	False	False	False
AL139246.3	False	False	False	False	False	False	not_HVG	False	False	False
PRXL2B	False	False	False	False	False	False	not_HVG	False	False	False
MMEL1	False	False	False	False	False	False	not_HVG	False	False	False
AL831784.1	False	False	False	False	False	False	not_HVG	False	False	False
TTC34	False	False	False	False	False	False	not_HVG	False	False	False
AC242022.2	False	False	False	False	False	False	not_HVG	False	False	False
AC242022.1	False	False	False	False	False	False	not_HVG	False	False	False
AL592464.2	False	False	False	False	False	False	not_HVG	False	False	False
AL592464.3	False	False	False	False	False	False	not_HVG	False	False	False
AL592464.1	False	False	False	False	False	False	not_HVG	False	False	False
AL589702.1	False	False	False	False	False	False	not_HVG	False	False	False
ACTRT2	False	False	False	False	False	False	not_HVG	False	False	False
PRDM16-DT	False	False	False	False	False	False	not_HVG	False	False	False
PRDM16	False	True	False	False	False	False	not_HVG	False	True	False
AL008733.1	False	False	False	False	False	False	not_HVG	False	False	False
AL590438.1	False	False	False	False	False	False	not_HVG	False	False	False
AL354743.2	False	False	False	False	False	False	not_HVG	False	False	False
AL354743.1	False	False	False	False	False	False	not_HVG	False	False	False
ARHGEF16	False	False	False	False	False	False	not_HVG	False	False	False
AL512413.1	False	False	False	False	False	False	not_HVG	False	False	False
MEGF6	False	False	False	False	False	False	not_HVG	False	False	False
AL513320.1	False	False	False	False	False	False	not_HVG	False	False	False
TPRG1L	False	False	False	False	False	False	not_HVG	False	False	False
WRAP73	False	False	False	False	False	False	not_HVG	False	False	False
TP73	False	False	False	False	False	False	not_HVG	False	False	False
AL136528.1	False	False	False	False	False	False	not_HVG	False	False	False
AL136528.2	False	False	False	False	False	False	not_HVG	False	False	False
CCDC27	False	False	False	False	False	False	not_HVG	False	False	False
SMIM1	False	False	False	False	False	False	not_HVG	False	False	False
LRRC47	False	False	False	False	False	False	not_HVG	False	False	False
AL365330.1	False	False	False	False	False	False	not_HVG	False	False	False
CEP104	False	False	False	False	False	False	not_HVG	False	False	False
DFFB	False	False	False	False	False	False	not_HVG	False	False	False
C1orf174	False	False	False	False	False	False	not_HVG	False	False	False
LINC01134	False	False	False	False	False	False	not_HVG	False	False	False
LINC01346	False	False	False	False	False	False	not_HVG	False	False	False
LINC01345	False	False	False	False	False	False	not_HVG	False	False	False
LINC02780	True	False	False	False	False	True	HVG_retained	False	False	False
AL805961.1	False	False	False	False	False	False	not_HVG	False	False	False
LINC01777	False	False	False	False	False	False	not_HVG	False	False	False
AL355602.1	False	False	False	False	False	False	not_HVG	False	False	False
Z98747.1	False	False	False	False	False	False	not_HVG	False	False	False
LINC01646	False	False	False	False	False	False	not_HVG	False	False	False
AJAP1	False	False	False	False	False	False	not_HVG	False	False	False
Z98886.1	False	False	False	False	False	False	not_HVG	False	False	False
BX005132.1	False	False	False	False	False	False	not_HVG	False	False	False
LINC02781	False	False	False	False	False	False	not_HVG	False	False	False
LINC02782	False	False	False	False	False	False	not_HVG	False	False	False
AL139823.1	True	False	False	False	False	True	HVG_retained	False	False	False
Z98259.3	False	False	False	False	False	False	not_HVG	False	False	False
Z98259.2	False	False	False	False	False	False	not_HVG	False	False	False
Z98259.1	False	False	False	False	False	False	not_HVG	False	False	False
AL365255.1	False	False	False	False	False	False	not_HVG	False	False	False
NPHP4	False	False	False	False	False	False	not_HVG	False	False	False
KCNAB2	False	False	False	False	False	False	not_HVG	False	False	False
CHD5	False	False	False	False	False	False	not_HVG	False	False	False
RPL22	False	False	False	True	False	False	not_HVG	False	False	False
AL031847.1	False	False	False	False	False	False	not_HVG	False	False	False
RNF207	False	False	False	False	False	False	not_HVG	False	False	False
ICMT	False	False	False	False	False	False	not_HVG	False	False	False
LINC00337	False	False	False	False	False	False	not_HVG	False	False	False
HES3	False	False	False	False	False	False	not_HVG	False	False	False
GPR153	False	False	False	False	False	False	not_HVG	False	False	False
ACOT7	False	False	False	False	False	False	not_HVG	False	False	False
AL031848.2	False	False	False	False	False	False	not_HVG	False	False	False
HES2	False	False	False	False	False	False	not_HVG	False	False	False
ESPN	False	False	False	False	False	False	not_HVG	False	False	False
AL031848.1	False	False	False	False	False	False	not_HVG	False	False	False
TNFRSF25	False	False	False	False	False	False	not_HVG	False	False	False
PLEKHG5	False	False	False	False	False	False	not_HVG	False	False	False
NOL9	False	False	False	False	False	False	not_HVG	False	False	False
TAS1R1	True	False	False	False	False	True	HVG_retained	False	False	False
ZBTB48	False	False	False	False	False	False	not_HVG	False	False	False
KLHL21	False	False	False	False	False	False	not_HVG	False	False	False
PHF13	False	False	False	False	False	False	not_HVG	False	False	False
THAP3	False	False	False	False	False	False	not_HVG	False	False	False
DNAJC11	False	False	False	False	False	False	not_HVG	False	False	False
LINC01672	False	False	False	False	False	False	not_HVG	False	False	False
AL591163.1	False	False	False	False	False	False	not_HVG	False	False	False
CAMTA1-DT	False	False	False	False	False	False	not_HVG	False	False	False
CAMTA1	False	False	False	False	False	False	not_HVG	False	False	False
AL512330.1	False	False	False	False	False	False	not_HVG	False	False	False
CAMTA1-IT1	False	False	False	False	False	False	not_HVG	False	False	False
Z97987.1	False	False	False	False	False	False	not_HVG	False	False	False
AL365194.1	False	False	False	False	False	False	not_HVG	False	False	False
AL359881.3	False	False	False	False	False	False	not_HVG	False	False	False
AL359881.2	False	False	False	False	False	False	not_HVG	False	False	False
AL359881.1	False	False	False	False	False	False	not_HVG	False	False	False
VAMP3	False	True	False	False	False	False	not_HVG	False	True	False
Z98884.2	False	False	False	False	False	False	not_HVG	False	False	False
PER3	False	True	False	False	False	False	not_HVG	False	True	False
Z98884.1	False	False	False	False	False	False	not_HVG	False	False	False
UTS2	False	True	False	False	False	False	not_HVG	False	True	False
TNFRSF9	False	False	False	False	False	False	not_HVG	False	False	False
PARK7	False	True	False	False	False	False	not_HVG	True	False	False
AL034417.4	False	False	False	False	False	False	not_HVG	False	False	False
AL034417.3	False	False	False	False	False	False	not_HVG	False	False	False
ERRFI1	False	True	False	False	False	False	not_HVG	True	False	False
AL034417.2	False	False	False	False	False	False	not_HVG	False	False	False
LINC01714	False	False	False	False	False	False	not_HVG	False	False	False
AL358876.2	False	False	False	False	False	False	not_HVG	False	False	False
SLC45A1	False	False	False	False	False	False	not_HVG	False	False	False
RERE	False	False	False	False	False	False	not_HVG	False	False	False
RERE-AS1	False	False	False	False	False	False	not_HVG	False	False	False
AL357552.2	True	False	False	False	False	True	HVG_retained	False	False	False
ENO1	False	False	False	False	False	False	not_HVG	False	False	False
ENO1-AS1	False	False	False	False	False	False	not_HVG	False	False	False
CA6	False	False	False	False	False	False	not_HVG	False	False	False
SLC2A7	False	False	False	False	False	False	not_HVG	False	False	False
SLC2A5	False	False	False	False	False	False	not_HVG	False	False	False
GPR157	False	False	False	False	False	False	not_HVG	False	False	False
MIR34AHG	True	False	False	False	False	True	HVG_retained	False	False	False
LNCTAM34A	False	False	False	False	False	False	not_HVG	False	False	False
H6PD	False	False	False	False	False	False	not_HVG	False	False	False
SPSB1	True	False	False	False	False	True	HVG_retained	False	False	False
BX323043.1	False	False	False	False	False	False	not_HVG	False	False	False
LINC02606	False	False	False	False	False	False	not_HVG	False	False	False
AL928921.1	False	False	False	False	False	False	not_HVG	False	False	False
SLC25A33	True	False	False	False	False	True	HVG_retained	False	False	False
TMEM201	False	False	False	False	False	False	not_HVG	False	False	False
PIK3CD	False	False	False	False	False	False	not_HVG	False	False	False
PIK3CD-AS1	False	False	False	False	False	False	not_HVG	False	False	False
PIK3CD-AS2	False	False	False	False	False	False	not_HVG	False	False	False
CLSTN1	False	False	False	False	False	False	not_HVG	False	False	False
CTNNBIP1	False	False	False	False	False	False	not_HVG	False	False	False
AL357140.1	False	False	False	False	False	False	not_HVG	False	False	False
AL357140.4	False	False	False	False	False	False	not_HVG	False	False	False
LZIC	False	False	False	False	False	False	not_HVG	False	False	False
AL357140.2	False	False	False	False	False	False	not_HVG	False	False	False
NMNAT1	False	False	False	False	False	False	not_HVG	False	False	False
AL603962.1	False	False	False	False	False	False	not_HVG	False	False	False
RBP7	False	False	False	False	False	False	not_HVG	False	False	False
UBE4B	False	False	False	False	False	False	not_HVG	False	False	False
KIF1B	False	False	False	False	False	False	not_HVG	False	False	False
AL139424.3	False	False	False	False	False	False	not_HVG	False	False	False
AL139424.2	False	False	False	False	False	False	not_HVG	False	False	False
PGD	False	False	False	False	False	False	not_HVG	False	False	False
AL139424.1	False	False	False	False	False	False	not_HVG	False	False	False
CENPS	False	False	False	False	False	False	not_HVG	False	False	False
CORT	False	False	False	False	False	False	not_HVG	False	False	False
DFFA	False	False	False	False	False	False	not_HVG	False	False	False
AL354956.1	False	False	False	False	False	False	not_HVG	False	False	False
PEX14	False	True	False	False	False	False	not_HVG	False	False	True
AL139423.2	False	False	False	False	False	False	not_HVG	False	False	False
CASZ1	False	False	False	False	False	False	not_HVG	False	False	False
AL139423.1	False	False	False	False	False	False	not_HVG	False	False	False
C1orf127	False	False	False	False	False	False	not_HVG	False	False	False
TARDBP	False	False	False	False	False	False	not_HVG	False	False	False
MASP2	False	False	False	False	False	False	not_HVG	False	False	False
AL109811.2	False	False	False	False	False	False	not_HVG	False	False	False
SRM	False	False	False	False	False	False	not_HVG	False	False	False
EXOSC10	False	False	False	False	False	False	not_HVG	False	False	False
AL109811.1	False	False	False	False	False	False	not_HVG	False	False	False
EXOSC10-AS1	False	False	False	False	False	False	not_HVG	False	False	False
MTOR	False	False	False	False	False	False	not_HVG	False	False	False
MTOR-AS1	False	False	False	False	False	False	not_HVG	False	False	False
ANGPTL7	False	False	False	False	False	False	not_HVG	False	False	False
UBIAD1	False	False	False	False	False	False	not_HVG	False	False	False
AL031291.1	False	False	False	False	False	False	not_HVG	False	False	False
DISP3	False	False	False	False	False	False	not_HVG	False	False	False
AL590989.1	False	False	False	False	False	False	not_HVG	False	False	False
LINC01647	False	False	False	False	False	False	not_HVG	False	False	False
AL031731.1	False	False	False	False	False	False	not_HVG	False	False	False
FBXO2	False	False	False	False	False	False	not_HVG	False	False	False
FBXO44	False	False	False	False	False	False	not_HVG	False	False	False
FBXO6	False	False	False	False	False	False	not_HVG	False	False	False
MAD2L2	False	False	False	False	False	False	not_HVG	False	False	False
DRAXIN	False	False	False	False	False	False	not_HVG	False	False	False
AGTRAP	False	False	False	False	False	False	not_HVG	False	False	False
C1orf167	False	True	False	False	False	False	not_HVG	True	False	False
AL953897.1	False	False	False	False	False	False	not_HVG	False	False	False
MTHFR	False	True	False	False	False	False	not_HVG	True	False	False
CLCN6	False	True	False	False	False	False	not_HVG	True	False	False
NPPA	False	True	False	False	False	False	not_HVG	True	False	False
NPPB	False	True	False	False	False	False	not_HVG	True	False	False
AL021155.5	False	False	False	False	False	False	not_HVG	False	False	False
KIAA2013	False	True	False	False	False	False	not_HVG	True	False	False
PLOD1	False	True	False	False	False	False	not_HVG	True	False	False
AL096840.2	False	False	False	False	False	False	not_HVG	False	False	False
MFN2	False	True	False	False	False	False	not_HVG	True	False	False
MIIP	False	False	False	False	False	False	not_HVG	False	False	False
TNFRSF8	False	False	False	False	False	False	not_HVG	False	False	False
AL357835.1	False	False	False	False	False	False	not_HVG	False	False	False
TNFRSF1B	False	False	False	False	False	False	not_HVG	False	False	False
VPS13D	False	False	False	False	False	False	not_HVG	False	False	False
LINC02766	False	False	False	False	False	False	not_HVG	False	False	False
DHRS3	True	False	False	False	False	True	HVG_retained	False	False	False
AC254633.1	False	False	False	False	False	False	not_HVG	False	False	False
AADACL4	False	False	False	False	False	False	not_HVG	False	False	False
AADACL3	False	False	False	False	False	False	not_HVG	False	False	False
C1orf158	False	False	False	False	False	False	not_HVG	False	False	False
PRAMEF12	False	False	False	False	False	False	not_HVG	False	False	False
PRAMEF1	False	False	False	False	False	False	not_HVG	False	False	False
LINC01784	False	False	False	False	False	False	not_HVG	False	False	False
PRAMEF11	False	False	False	False	False	False	not_HVG	False	False	False
HNRNPCL1	False	False	False	False	False	False	not_HVG	False	False	False
PRAMEF2	False	False	False	False	False	False	not_HVG	False	False	False
PRAMEF4	False	False	False	False	False	False	not_HVG	False	False	False
PRAMEF10	False	False	False	False	False	False	not_HVG	False	False	False
PRAMEF7	False	False	False	False	False	False	not_HVG	False	False	False
PRAMEF6	False	False	False	False	False	False	not_HVG	False	False	False
PRAMEF27	False	False	False	False	False	False	not_HVG	False	False	False
HNRNPCL3	False	False	False	False	False	False	not_HVG	False	False	False
PRAMEF25	False	False	False	False	False	False	not_HVG	False	False	False
HNRNPCL2	False	False	False	False	False	False	not_HVG	False	False	False
AC245056.1	False	False	False	False	False	False	not_HVG	False	False	False
PRAMEF26	False	False	False	False	False	False	not_HVG	False	False	False
HNRNPCL4	False	False	False	False	False	False	not_HVG	False	False	False
PRAMEF9	False	False	False	False	False	False	not_HVG	False	False	False
PRAMEF13	False	False	False	False	False	False	not_HVG	False	False	False
PRAMEF18	False	False	False	False	False	False	not_HVG	False	False	False
PRAMEF5	False	False	False	False	False	False	not_HVG	False	False	False
PRAMEF8	False	False	False	False	False	False	not_HVG	False	False	False
PRAMEF33	False	False	False	False	False	False	not_HVG	False	False	False
PRAMEF15	False	False	False	False	False	False	not_HVG	False	False	False
AC243961.1	False	False	False	False	False	False	not_HVG	False	False	False
PRAMEF14	False	False	False	False	False	False	not_HVG	False	False	False
PRAMEF19	False	False	False	False	False	False	not_HVG	False	False	False
PRAMEF17	False	False	False	False	False	False	not_HVG	False	False	False
PRAMEF20	False	False	False	False	False	False	not_HVG	False	False	False
LRRC38	False	False	False	False	False	False	not_HVG	False	False	False
AL354712.1	False	False	False	False	False	False	not_HVG	False	False	False
PDPN	True	False	False	False	False	True	HVG_retained	False	False	False
AL359771.1	False	False	False	False	False	False	not_HVG	False	False	False
PRDM2	False	False	False	False	False	False	not_HVG	False	False	False
KAZN	False	False	False	False	False	False	not_HVG	False	False	False
AL357873.1	True	False	False	False	False	True	HVG_retained	False	False	False
KAZN-AS1	False	False	False	False	False	False	not_HVG	False	False	False
AL031293.1	False	False	False	False	False	False	not_HVG	False	False	False
TMEM51-AS1	False	False	False	False	False	False	not_HVG	False	False	False
TMEM51	False	False	False	False	False	False	not_HVG	False	False	False
C1orf195	False	False	False	False	False	False	not_HVG	False	False	False
FHAD1	True	False	False	False	False	True	HVG_retained	False	False	False
AL031283.2	False	False	False	False	False	False	not_HVG	False	False	False
AL031283.3	False	False	False	False	False	False	not_HVG	False	False	False
AL031283.1	False	False	False	False	False	False	not_HVG	False	False	False
EFHD2	False	False	False	False	False	False	not_HVG	False	False	False
CTRC	True	False	False	False	False	True	HVG_retained	False	False	False
CELA2A	False	False	False	False	False	False	not_HVG	False	False	False
CELA2B	True	False	False	False	False	True	HVG_retained	False	False	False
CASP9	True	False	False	False	False	True	HVG_retained	False	False	False
DNAJC16	False	False	False	False	False	False	not_HVG	False	False	False
AL121992.3	False	False	False	False	False	False	not_HVG	False	False	False
AGMAT	False	False	False	False	False	False	not_HVG	False	False	False
AL121992.1	False	False	False	False	False	False	not_HVG	False	False	False
DDI2	False	False	False	False	False	False	not_HVG	False	False	False
RSC1A1	False	False	False	False	False	False	not_HVG	False	False	False
AL121992.2	False	False	False	False	False	False	not_HVG	False	False	False
PLEKHM2	False	False	False	False	False	False	not_HVG	False	False	False
AL450998.3	False	False	False	False	False	False	not_HVG	False	False	False
SLC25A34	False	False	False	False	False	False	not_HVG	False	False	False
SLC25A34-AS1	False	False	False	False	False	False	not_HVG	False	False	False
TMEM82	False	False	False	False	False	False	not_HVG	False	False	False
FBLIM1	False	False	False	False	False	False	not_HVG	False	False	False
UQCRHL	False	False	False	False	False	False	not_HVG	False	False	False
AL450998.2	False	False	False	False	False	False	not_HVG	False	False	False
SPEN	False	False	False	False	False	False	not_HVG	False	False	False
ZBTB17	False	False	False	False	False	False	not_HVG	False	False	False
SRARP	False	False	False	False	False	False	not_HVG	False	False	False
AL355994.3	False	False	False	False	False	False	not_HVG	False	False	False
HSPB7	True	False	False	False	False	True	HVG_retained	False	False	False
CLCNKA	False	False	False	False	False	False	not_HVG	False	False	False
CLCNKB	False	False	False	False	False	False	not_HVG	False	False	False
FAM131C	False	False	False	False	False	False	not_HVG	False	False	False
EPHA2	True	False	False	False	False	True	HVG_retained	False	False	False
AL451042.2	False	False	False	False	False	False	not_HVG	False	False	False
AL451042.1	False	False	False	False	False	False	not_HVG	False	False	False
ARHGEF19-AS1	False	False	False	False	False	False	not_HVG	False	False	False
ARHGEF19	False	False	False	False	False	False	not_HVG	False	False	False
AL109627.1	False	False	False	False	False	False	not_HVG	False	False	False
CPLANE2	False	False	False	False	False	False	not_HVG	False	False	False
FBXO42	False	False	False	False	False	False	not_HVG	False	False	False
SZRD1	False	False	False	False	False	False	not_HVG	False	False	False
SPATA21	False	False	False	False	False	False	not_HVG	False	False	False
NECAP2	False	False	False	False	False	False	not_HVG	False	False	False
LINC01772	False	False	False	False	False	False	not_HVG	False	False	False
AL137802.2	False	False	False	False	False	False	not_HVG	False	False	False
AL137802.1	False	False	False	False	False	False	not_HVG	False	False	False
LINC01783	False	False	False	False	False	False	not_HVG	False	False	False
NBPF1	False	False	False	False	False	False	not_HVG	False	False	False
AL137798.1	False	False	False	False	False	False	not_HVG	False	False	False
AL137798.2	False	False	False	False	False	False	not_HVG	False	False	False
AL021920.1	False	False	False	False	False	False	not_HVG	False	False	False
AL021920.3	False	False	False	False	False	False	not_HVG	False	False	False
CROCC	False	False	False	False	False	False	not_HVG	False	False	False
BX284668.1	True	False	False	False	False	True	HVG_retained	False	False	False
BX284668.2	True	False	False	False	False	True	HVG_retained	False	False	False
BX284668.5	False	False	False	False	False	False	not_HVG	False	False	False
BX284668.6	False	False	False	False	False	False	not_HVG	False	False	False
MFAP2	False	False	False	False	False	False	not_HVG	False	False	False
AL049569.2	False	False	False	False	False	False	not_HVG	False	False	False
AL049569.1	False	False	False	False	False	False	not_HVG	False	False	False
ATP13A2	False	False	False	False	False	False	not_HVG	False	False	False
SDHB	False	False	False	False	False	False	not_HVG	False	False	False
PADI2	True	False	False	False	False	True	HVG_retained	False	False	False
LINC02783	False	False	False	False	False	False	not_HVG	False	False	False
AL590644.1	False	False	False	False	False	False	not_HVG	False	False	False
PADI1	False	False	False	False	False	False	not_HVG	False	False	False
PADI3	False	False	False	False	False	False	not_HVG	False	False	False
PADI4	False	False	False	False	False	False	not_HVG	False	False	False
PADI6	True	False	False	False	False	True	HVG_retained	False	False	False
RCC2-AS1	False	False	False	False	False	False	not_HVG	False	False	False
RCC2	False	False	False	False	False	False	not_HVG	False	False	False
ARHGEF10L	False	False	False	False	False	False	not_HVG	False	False	False
LINC02810	False	False	False	False	False	False	not_HVG	False	False	False
ACTL8	False	False	False	False	False	False	not_HVG	False	False	False
AL357509.1	False	False	False	False	False	False	not_HVG	False	False	False
LINC01654	False	False	False	False	False	False	not_HVG	False	False	False
IGSF21	False	False	False	False	False	False	not_HVG	False	False	False
IGSF21-AS1	False	False	False	False	False	False	not_HVG	False	False	False
AL591896.1	False	False	False	False	False	False	not_HVG	False	False	False
KLHDC7A	False	False	False	False	False	False	not_HVG	False	False	False
PAX7	False	False	False	False	False	False	not_HVG	False	False	False
TAS1R2	False	False	False	False	False	False	not_HVG	False	False	False
ALDH4A1	False	False	False	False	False	False	not_HVG	False	False	False
IFFO2	False	False	False	False	False	False	not_HVG	False	False	False
AL137127.1	False	False	False	False	False	False	not_HVG	False	False	False
UBR4	False	False	False	False	False	False	not_HVG	False	False	False
EMC1-AS1	False	False	False	False	False	False	not_HVG	False	False	False
EMC1	False	False	False	False	False	False	not_HVG	False	False	False
MRTO4	False	False	False	False	False	False	not_HVG	False	False	False
AKR7A3	False	False	False	False	False	False	not_HVG	False	False	False
AKR7A2	False	False	False	False	False	False	not_HVG	False	False	False
SLC66A1	False	False	False	False	False	False	not_HVG	False	False	False
CAPZB	False	False	False	False	False	False	not_HVG	False	False	False
MICOS10	False	False	False	False	False	False	not_HVG	False	False	False
AL031727.2	False	False	False	False	False	False	not_HVG	False	False	False
NBL1	False	False	False	False	False	False	not_HVG	False	False	False
HTR6	False	False	False	False	False	False	not_HVG	False	False	False
TMCO4	False	False	False	False	False	False	not_HVG	False	False	False
RNF186	False	False	False	False	False	False	not_HVG	False	False	False
AL391883.1	False	False	False	False	False	False	not_HVG	False	False	False
OTUD3	False	False	False	False	False	False	not_HVG	False	False	False
PLA2G2E	False	False	False	False	False	False	not_HVG	False	False	False
PLA2G2A	False	False	False	False	False	False	not_HVG	False	False	False
PLA2G5	False	False	False	False	False	False	not_HVG	False	False	False
PLA2G2D	False	False	False	False	False	False	not_HVG	False	False	False
PLA2G2F	False	False	False	False	False	False	not_HVG	False	False	False
Z98257.1	False	False	False	False	False	False	not_HVG	False	False	False
