gene	hvg_candidate	excluded_disease_union	excluded_mitochondrial	excluded_ribosomal	excluded_technical	retained_for_state_discovery	reason	in_AMD_top1000	in_POAG_top1000	in_RE_top1000
ANKFY1	False	True	False	False	False	False	not_HVG	True	False	False
AC087292.1	True	False	False	False	False	True	HVG_retained	False	False	False
AC087742.1	False	False	False	False	False	False	not_HVG	False	False	False
UBE2G1	False	True	False	False	False	False	not_HVG	False	False	True
SPNS3	False	False	False	False	False	False	not_HVG	False	False	False
AC127521.1	False	False	False	False	False	False	not_HVG	False	False	False
AC118754.1	True	False	False	False	False	True	HVG_retained	False	False	False
SPNS2	True	False	False	False	False	True	HVG_retained	False	False	False
MYBBP1A	False	False	False	False	False	False	not_HVG	False	False	False
GGT6	True	False	False	False	False	True	HVG_retained	False	False	False
AC118754.2	True	False	False	False	False	True	HVG_retained	False	False	False
SMTNL2	True	False	False	False	False	True	HVG_retained	False	False	False
LINC01996	False	False	False	False	False	False	not_HVG	False	False	False
ALOX15	False	False	False	False	False	False	not_HVG	False	False	False
PELP1	False	False	False	False	False	False	not_HVG	False	False	False
AC091153.2	False	False	False	False	False	False	not_HVG	False	False	False
AC091153.3	False	False	False	False	False	False	not_HVG	False	False	False
ARRB2	False	False	False	False	False	False	not_HVG	False	False	False
MED11	False	False	False	False	False	False	not_HVG	False	False	False
AC091153.4	False	False	False	False	False	False	not_HVG	False	False	False
CXCL16	False	False	False	False	False	False	not_HVG	False	False	False
ZMYND15	False	False	False	False	False	False	not_HVG	False	False	False
TM4SF5	False	False	False	False	False	False	not_HVG	False	False	False
VMO1	False	False	False	False	False	False	not_HVG	False	False	False
GLTPD2	False	False	False	False	False	False	not_HVG	False	False	False
PSMB6	False	False	False	False	False	False	not_HVG	False	False	False
AC233723.1	False	False	False	False	False	False	not_HVG	False	False	False
PLD2	False	False	False	False	False	False	not_HVG	False	False	False
MINK1	False	False	False	False	False	False	not_HVG	False	False	False
CHRNE	False	False	False	False	False	False	not_HVG	False	False	False
C17orf107	False	False	False	False	False	False	not_HVG	False	False	False
GP1BA	False	False	False	False	False	False	not_HVG	False	False	False
SLC25A11	False	False	False	False	False	False	not_HVG	False	False	False
RNF167	False	False	False	False	False	False	not_HVG	False	False	False
PFN1	False	False	False	False	False	False	not_HVG	False	False	False
ENO3	False	False	False	False	False	False	not_HVG	False	False	False
SPAG7	False	False	False	False	False	False	not_HVG	False	False	False
CAMTA2	False	False	False	False	False	False	not_HVG	False	False	False
AC004771.4	False	False	False	False	False	False	not_HVG	False	False	False
AC004771.2	False	False	False	False	False	False	not_HVG	False	False	False
AC004771.5	False	False	False	False	False	False	not_HVG	False	False	False
AC004771.3	False	False	False	False	False	False	not_HVG	False	False	False
INCA1	False	False	False	False	False	False	not_HVG	False	False	False
KIF1C	False	False	False	False	False	False	not_HVG	False	False	False
AC004771.1	False	False	False	False	False	False	not_HVG	False	False	False
SLC52A1	False	False	False	False	False	False	not_HVG	False	False	False
AC012146.3	False	False	False	False	False	False	not_HVG	False	False	False
ZFP3	False	False	False	False	False	False	not_HVG	False	False	False
ZNF232	False	False	False	False	False	False	not_HVG	False	False	False
AC012146.1	False	False	False	False	False	False	not_HVG	False	False	False
USP6	False	False	False	False	False	False	not_HVG	False	False	False
ZNF594	False	False	False	False	False	False	not_HVG	False	False	False
AC087500.1	False	False	False	False	False	False	not_HVG	False	False	False
SCIMP	False	False	False	False	False	False	not_HVG	False	False	False
AC087500.2	False	False	False	False	False	False	not_HVG	False	False	False
RABEP1	False	False	False	False	False	False	not_HVG	False	False	False
NUP88	False	False	False	False	False	False	not_HVG	False	False	False
AC015727.1	False	False	False	False	False	False	not_HVG	False	False	False
RPAIN	False	False	False	False	False	False	not_HVG	False	False	False
AC004148.1	False	False	False	False	False	False	not_HVG	False	False	False
C1QBP	False	False	False	False	False	False	not_HVG	False	False	False
DHX33	False	False	False	False	False	False	not_HVG	False	False	False
DHX33-DT	False	False	False	False	False	False	not_HVG	False	False	False
DERL2	False	False	False	False	False	False	not_HVG	False	False	False
MIS12	False	False	False	False	False	False	not_HVG	False	False	False
NLRP1	False	True	False	False	False	False	not_HVG	True	False	False
AC055839.2	False	False	False	False	False	False	not_HVG	False	False	False
AC135726.1	False	False	False	False	False	False	not_HVG	False	False	False
AC007846.1	False	False	False	False	False	False	not_HVG	False	False	False
WSCD1	False	False	False	False	False	False	not_HVG	False	False	False
AC104770.1	False	False	False	False	False	False	not_HVG	False	False	False
AC055872.2	False	False	False	False	False	False	not_HVG	False	False	False
AIPL1	False	False	False	False	False	False	not_HVG	False	False	False
PIMREG	False	False	False	False	False	False	not_HVG	False	False	False
PITPNM3	False	False	False	False	False	False	not_HVG	False	False	False
KIAA0753	False	False	False	False	False	False	not_HVG	False	False	False
AC004706.3	False	False	False	False	False	False	not_HVG	False	False	False
TXNDC17	False	False	False	False	False	False	not_HVG	False	False	False
MED31	False	False	False	False	False	False	not_HVG	False	False	False
C17orf100	False	False	False	False	False	False	not_HVG	False	False	False
AC004706.1	False	False	False	False	False	False	not_HVG	False	False	False
SLC13A5	False	False	False	False	False	False	not_HVG	False	False	False
XAF1	False	False	False	False	False	False	not_HVG	False	False	False
FBXO39	True	False	False	False	False	True	HVG_retained	False	False	False
TEKT1	False	False	False	False	False	False	not_HVG	False	False	False
ALOX12-AS1	False	False	False	False	False	False	not_HVG	False	False	False
AC027763.2	False	False	False	False	False	False	not_HVG	False	False	False
AC040977.1	False	False	False	False	False	False	not_HVG	False	False	False
ALOX12	False	False	False	False	False	False	not_HVG	False	False	False
RNASEK	False	False	False	False	False	False	not_HVG	False	False	False
C17orf49	False	False	False	False	False	False	not_HVG	False	False	False
MIR497HG	False	False	False	False	False	False	not_HVG	False	False	False
BCL6B	False	False	False	False	False	False	not_HVG	False	False	False
SLC16A13	False	False	False	False	False	False	not_HVG	False	False	False
SLC16A11	False	False	False	False	False	False	not_HVG	False	False	False
CLEC10A	False	False	False	False	False	False	not_HVG	False	False	False
ASGR2	False	False	False	False	False	False	not_HVG	False	False	False
ASGR1	False	False	False	False	False	False	not_HVG	False	False	False
DLG4	False	False	False	False	False	False	not_HVG	False	False	False
ACADVL	False	False	False	False	False	False	not_HVG	False	False	False
DVL2	False	False	False	False	False	False	not_HVG	False	False	False
PHF23	False	False	False	False	False	False	not_HVG	False	False	False
GABARAP	False	False	False	False	False	False	not_HVG	False	False	False
CTDNEP1	False	False	False	False	False	False	not_HVG	False	False	False
ELP5	False	False	False	False	False	False	not_HVG	False	False	False
