resolution	median_ARI	median_NMI	minimum_cluster_size	minimum_donor_representation	maximum_donor_fraction	stability_eligible
0.2	0.8704839366872403	0.907277604546026	107	1	1.0	False
0.4	0.9239803550698359	0.9365083400699054	62	2	0.9970149253731343	False
0.6	0.8758893489745511	0.918371374396154	41	1	1.0	False
0.8	0.9356286538027525	0.9372917446818922	19	1	1.0	False
