trait	rna_broad_class	atac_broad_class	phase3a_donor_aware_effect	phase3a_global_fdr	phase3a_tier	phase3a_confidence	magma_beta	magma_p	magma_fdr	atac_sldsc_coefficient	atac_sldsc_enrichment	atac_global_fdr	atac_annotation_type	consensus_classification
AMD	Muller glia	MG	1.1001716136462685	0.0002069388048756577	TIER1_BROAD_CLASS	MODERATE_CONFIDENCE	0.018498	0.046021	0.17750957142857143	-2.8101e-08	-16.325	0.8451120624302648	OFFICIAL_MAJOR_CLASS_OCR_SURROGATE	RNA_ONLY
AMD	amacrine cells	AC	-0.4884553648969135	0.009872471002647664	NONE	EXPLORATORY	-0.029687	0.98848	0.99976	-3.9302e-08	-22.832	0.7253297092030584	OFFICIAL_MAJOR_CLASS_OCR_SURROGATE	UNSUPPORTED
AMD	bipolar cells	BC	-0.10116559914704346	0.5273292113955586	NONE	NULL/UNSUPPORTED	-0.027712	0.97988	0.99976	5.055e-08	29.367	0.7253297092030584	OFFICIAL_MAJOR_CLASS_OCR_SURROGATE	UNSUPPORTED
AMD	cones	Cone	0.08607076377307302	0.9202983587157836	NONE	NULL/UNSUPPORTED	0.0031399	0.37899	0.7871330769230769	-6.7462e-08	-39.192	0.6891817603726117	OFFICIAL_MAJOR_CLASS_OCR_SURROGATE	UNSUPPORTED
AMD	rods	Rod	-0.07095093003523992	1.0	NONE	NULL/UNSUPPORTED	-0.0038364	0.63659	0.99976	1.0872e-07	63.159	0.6891817603726117	OFFICIAL_MAJOR_CLASS_OCR_SURROGATE	UNSUPPORTED
AMD	horizontal cells	HC	-0.48639920608893583	0.02192769979827647	NONE	EXPLORATORY	-0.019861	0.9645	0.99976	-7.8286e-08	-45.48	0.7253297092030584	OFFICIAL_MAJOR_CLASS_OCR_SURROGATE	UNSUPPORTED
AMD	RGC	RGC	-0.0502514051160671	1.0	NONE	NULL/UNSUPPORTED	-0.0080762	0.79953	0.99976	-5.1214e-08	-29.753	0.7253297092030584	OFFICIAL_MAJOR_CLASS_OCR_SURROGATE	UNSUPPORTED
AMD	astrocytes	Astrocyte	0.7735109781717675	1.0	NONE	NULL/UNSUPPORTED	0.012749	0.095036	0.3207465	5.1717e-08	30.045	0.7685917244497013	OFFICIAL_MAJOR_CLASS_OCR_SURROGATE	UNSUPPORTED
AMD	microglia	Microglia	3.8406239663243036	1.0	NONE	EXPLORATORY	0.013621	0.022182	0.11978280000000001	2.0962e-08	12.178	0.8451120624302648	OFFICIAL_MAJOR_CLASS_OCR_SURROGATE	UNSUPPORTED
POAG	Muller glia	MG	1.9826403899095328	9.608267627427065e-07	TIER1_BROAD_CLASS	HIGH_CONFIDENCE	0.041055	3.3919e-05	0.00045790649999999996	1.0973e-07	52.735	0.6891817603726117	OFFICIAL_MAJOR_CLASS_OCR_SURROGATE	RNA_ONLY
POAG	amacrine cells	AC	0.01958223571969203	1.0	NONE	NULL/UNSUPPORTED	-0.012579	0.84484	0.99976	-3.9839e-08	-19.147	0.7253297092030584	OFFICIAL_MAJOR_CLASS_OCR_SURROGATE	UNSUPPORTED
POAG	bipolar cells	BC	-0.0749816697046229	0.8285671853482987	NONE	NULL/UNSUPPORTED	-0.014132	0.86472	0.99976	-1.114e-07	-53.538	0.33245309061661593	OFFICIAL_MAJOR_CLASS_OCR_SURROGATE	UNSUPPORTED
POAG	cones	Cone	-0.06163630398577116	1.0	NONE	NULL/UNSUPPORTED	-0.0025411	0.60454	0.99976	9.2161e-09	4.4293	0.8451120624302648	OFFICIAL_MAJOR_CLASS_OCR_SURROGATE	UNSUPPORTED
POAG	rods	Rod	-0.5776935998032868	0.008630137437131346	NONE	EXPLORATORY	-0.023854	0.98931	0.99976	-5.3619e-08	-25.769	0.6891817603726117	OFFICIAL_MAJOR_CLASS_OCR_SURROGATE	UNSUPPORTED
POAG	horizontal cells	HC	-0.44519075646065265	0.02016963671942944	NONE	EXPLORATORY	-0.0347	0.99957	0.99976	-1.141e-07	-54.836	0.33245309061661593	OFFICIAL_MAJOR_CLASS_OCR_SURROGATE	UNSUPPORTED
POAG	RGC	RGC	0.48282173206041684	1.0	NONE	NULL/UNSUPPORTED	-0.02046	0.98866	0.99976	-9.4301e-08	-45.321	0.3585304139226035	OFFICIAL_MAJOR_CLASS_OCR_SURROGATE	UNSUPPORTED
POAG	astrocytes	Astrocyte	2.469970904582716	1.0	NONE	EXPLORATORY	0.036569	2.8448e-05	0.00045790649999999996	1.7549e-07	84.341	0.33245309061661593	OFFICIAL_MAJOR_CLASS_OCR_SURROGATE	UNSUPPORTED
POAG	microglia	Microglia	0.8503699175265274	1.0	NONE	NULL/UNSUPPORTED	0.0066323	0.14814	0.44442	-3.0323e-08	-14.574	0.7685917244497013	OFFICIAL_MAJOR_CLASS_OCR_SURROGATE	UNSUPPORTED
