trait	broad_class	magma_variable	NGENES	beta	beta_std	SE	p	method	status	global_broad_FDR
AMD	Muller glia	Muller_glia	18089	0.018498	0.012669	0.010979	0.046021	MAGMA gene-property direction=greater conditioned on Average	PASS	0.17750957142857143
AMD	RGC	RGC	18089	-0.0080762	-0.0061163	0.0096147	0.79953	MAGMA gene-property direction=greater conditioned on Average	PASS	0.99976
AMD	amacrine cells	amacrine_cells	18089	-0.029687	-0.016767	0.01306	0.98848	MAGMA gene-property direction=greater conditioned on Average	PASS	0.99976
AMD	astrocytes	astrocytes	18089	0.012749	0.0096735	0.0097291	0.095036	MAGMA gene-property direction=greater conditioned on Average	PASS	0.3207465
AMD	bipolar cells	bipolar_cells	18089	-0.027712	-0.015411	0.013509	0.97988	MAGMA gene-property direction=greater conditioned on Average	PASS	0.99976
AMD	cones	cones	18089	0.0031399	0.0022909	0.01019	0.37899	MAGMA gene-property direction=greater conditioned on Average	PASS	0.7871330769230769
AMD	horizontal cells	horizontal_cells	18089	-0.019861	-0.01341	0.010999	0.9645	MAGMA gene-property direction=greater conditioned on Average	PASS	0.99976
AMD	microglia	microglia	18089	0.013621	0.014717	0.0067737	0.022182	MAGMA gene-property direction=greater conditioned on Average	PASS	0.11978280000000001
AMD	rods	rods	18089	-0.0038364	-0.0026176	0.010981	0.63659	MAGMA gene-property direction=greater conditioned on Average	PASS	0.99976
POAG	Muller glia	Muller_glia	18197	0.041055	0.028036	0.010302	3.3919e-05	MAGMA gene-property direction=greater conditioned on Average	PASS	0.00045790649999999996
POAG	RGC	RGC	18197	-0.02046	-0.015448	0.0089775	0.98866	MAGMA gene-property direction=greater conditioned on Average	PASS	0.99976
POAG	amacrine cells	amacrine_cells	18197	-0.012579	-0.0070855	0.012398	0.84484	MAGMA gene-property direction=greater conditioned on Average	PASS	0.99976
POAG	astrocytes	astrocytes	18197	0.036569	0.02766	0.009082	2.8448e-05	MAGMA gene-property direction=greater conditioned on Average	PASS	0.00045790649999999996
POAG	bipolar cells	bipolar_cells	18197	-0.014132	-0.007837	0.012826	0.86472	MAGMA gene-property direction=greater conditioned on Average	PASS	0.99976
POAG	cones	cones	18197	-0.0025411	-0.0018488	0.0095849	0.60454	MAGMA gene-property direction=greater conditioned on Average	PASS	0.99976
POAG	horizontal cells	horizontal_cells	18197	-0.0347	-0.023368	0.010405	0.99957	MAGMA gene-property direction=greater conditioned on Average	PASS	0.99976
POAG	microglia	microglia	18197	0.0066323	0.0071523	0.0063497	0.14814	MAGMA gene-property direction=greater conditioned on Average	PASS	0.44442
POAG	rods	rods	18197	-0.023854	-0.016229	0.010364	0.98931	MAGMA gene-property direction=greater conditioned on Average	PASS	0.99976
RE	Muller glia	Muller_glia	17344	0.052278	0.035994	0.015075	0.00026312	MAGMA gene-property direction=greater conditioned on Average	PASS	0.00236808
RE	RGC	RGC	17344	-0.012231	-0.0093006	0.013569	0.81629	MAGMA gene-property direction=greater conditioned on Average	PASS	0.99976
RE	amacrine cells	amacrine_cells	17344	0.048811	0.027667	0.018326	0.0038716	MAGMA gene-property direction=greater conditioned on Average	PASS	0.0261333
RE	astrocytes	astrocytes	17344	0.025175	0.019154	0.013549	0.031594	MAGMA gene-property direction=greater conditioned on Average	PASS	0.142173
RE	bipolar cells	bipolar_cells	17344	0.011475	0.006427	0.018763	0.27042	MAGMA gene-property direction=greater conditioned on Average	PASS	0.608445
RE	cones	cones	17344	0.011483	0.0083849	0.014303	0.21105	MAGMA gene-property direction=greater conditioned on Average	PASS	0.569835
RE	horizontal cells	horizontal_cells	17344	-0.052317	-0.035339	0.015391	0.99966	MAGMA gene-property direction=greater conditioned on Average	PASS	0.99976
RE	microglia	microglia	17344	-0.033013	-0.035804	0.0094566	0.99976	MAGMA gene-property direction=greater conditioned on Average	PASS	0.99976
RE	rods	rods	17344	0.0099785	0.0068363	0.015356	0.25791	MAGMA gene-property direction=greater conditioned on Average	PASS	0.608445
