program	program_index	trait	n_genes_used	top_genes	normalized_reconstruction_error	donor_activity_mean	donor_activity_sd	donor_score_rho	donor_score_P	program_generation	donor_score_FDR	robust_positive_program_trait
MG_program_01	1	AMD	1000	ESYT2;IGFBP5;DGKD;LRP2;SH3PXD2B;MYRIP;CDK19;NPAS2;TMEM178B;EPAS1;AC018682.1;ABCB11;AC098829.1;CEBPD;SRSF7;GASK1A;ITGA8;CCSER1;SEMA5B;PLEKHH2;AGPAT5;AC107021.1;AC008067.1;PLXNA4;SQSTM1;HES4;AL354794.1;CERS6;RAPGEF4;MIR548A1HG	0.3791782670686922	0.1190254024695605	0.08130201921613885	0.5714285714285715	0.13895995716070667	unsupervised_expression_only	0.23159992860117776	False
MG_program_01	1	POAG	1000	ESYT2;IGFBP5;DGKD;LRP2;SH3PXD2B;MYRIP;CDK19;NPAS2;TMEM178B;EPAS1;AC018682.1;ABCB11;AC098829.1;CEBPD;SRSF7;GASK1A;ITGA8;CCSER1;SEMA5B;PLEKHH2;AGPAT5;AC107021.1;AC008067.1;PLXNA4;SQSTM1;HES4;AL354794.1;CERS6;RAPGEF4;MIR548A1HG	0.3791782670686922	0.1190254024695605	0.08130201921613885	0.38095238095238104	0.35181255311756476	unsupervised_expression_only	0.8665485146604937	False
MG_program_01	1	RE	1000	ESYT2;IGFBP5;DGKD;LRP2;SH3PXD2B;MYRIP;CDK19;NPAS2;TMEM178B;EPAS1;AC018682.1;ABCB11;AC098829.1;CEBPD;SRSF7;GASK1A;ITGA8;CCSER1;SEMA5B;PLEKHH2;AGPAT5;AC107021.1;AC008067.1;PLXNA4;SQSTM1;HES4;AL354794.1;CERS6;RAPGEF4;MIR548A1HG	0.3791782670686922	0.1190254024695605	0.08130201921613885	0.30952380952380953	0.4556448907375822	unsupervised_expression_only	0.4927262450169573	False
MG_program_02	2	AMD	1000	LINC01170;SAG;JUN;GNGT1;RHO;DPP6;CA2;ID3;ID4;TENM3-AS1;PXDNL;MXD1;RDH10-AS1;HSPE1;AL138828.1;LRP2;ID2;AC008067.1;SYNPR;PTMA;ANKUB1;MARCH3;HES5;SPC25;GLCCI1;AC093879.1;RNF144B;ZNF385D;PIK3R3;PTN	0.3791782670686922	0.1171539044007659	0.11148613487011962	0.4523809523809524	0.260404767436885	unsupervised_expression_only	0.32550595929610626	False
MG_program_02	2	POAG	1000	LINC01170;SAG;JUN;GNGT1;RHO;DPP6;CA2;ID3;ID4;TENM3-AS1;PXDNL;MXD1;RDH10-AS1;HSPE1;AL138828.1;LRP2;ID2;AC008067.1;SYNPR;PTMA;ANKUB1;MARCH3;HES5;SPC25;GLCCI1;AC093879.1;RNF144B;ZNF385D;PIK3R3;PTN	0.3791782670686922	0.1171539044007659	0.11148613487011962	-0.4761904761904762	0.23293553465009798	unsupervised_expression_only	0.8665485146604937	False
MG_program_02	2	RE	1000	LINC01170;SAG;JUN;GNGT1;RHO;DPP6;CA2;ID3;ID4;TENM3-AS1;PXDNL;MXD1;RDH10-AS1;HSPE1;AL138828.1;LRP2;ID2;AC008067.1;SYNPR;PTMA;ANKUB1;MARCH3;HES5;SPC25;GLCCI1;AC093879.1;RNF144B;ZNF385D;PIK3R3;PTN	0.3791782670686922	0.1171539044007659	0.11148613487011962	0.5952380952380953	0.11952980613879259	unsupervised_expression_only	0.1992163435646543	False
MG_program_03	3	AMD	1000	ANKRD37;RANBP2;ESYT2;SRSF7;CYCS;PRMT9;NEK1;HSPA9;BTG2;TMEM184C;CASP9;BCAS2;ZNF141;GALM;TFRC;MXD1;INSIG1;NAMPT;USP37;EPAS1;PTMA;LRP1B;IDI1;MAT2A;NR4A3;JUN;SNX25;SPTAN1;TMEM178B;B3GALNT2	0.3791782670686922	0.1434255053754896	0.11786861924323341	-0.6190476190476191	0.1017330374542646	unsupervised_expression_only	0.23159992860117776	False
MG_program_03	3	POAG	1000	ANKRD37;RANBP2;ESYT2;SRSF7;CYCS;PRMT9;NEK1;HSPA9;BTG2;TMEM184C;CASP9;BCAS2;ZNF141;GALM;TFRC;MXD1;INSIG1;NAMPT;USP37;EPAS1;PTMA;LRP1B;IDI1;MAT2A;NR4A3;JUN;SNX25;SPTAN1;TMEM178B;B3GALNT2	0.3791782670686922	0.1434255053754896	0.11786861924323341	0.0	1.0	unsupervised_expression_only	1.0	False
MG_program_03	3	RE	1000	ANKRD37;RANBP2;ESYT2;SRSF7;CYCS;PRMT9;NEK1;HSPA9;BTG2;TMEM184C;CASP9;BCAS2;ZNF141;GALM;TFRC;MXD1;INSIG1;NAMPT;USP37;EPAS1;PTMA;LRP1B;IDI1;MAT2A;NR4A3;JUN;SNX25;SPTAN1;TMEM178B;B3GALNT2	0.3791782670686922	0.1434255053754896	0.11786861924323341	-0.6904761904761906	0.057990318164572716	unsupervised_expression_only	0.1992163435646543	False
MG_program_04	4	AMD	1000	LRP1B;LRRTM4;ACSL3;DPP6;AC073050.1;PAPPA2;GRIK3;RFX3-AS1;EFNA5;PRICKLE2;PDLIM3;CREB5;AC010967.1;SYNPR;BTG2;RGS16;EXT1;SCN7A;ZNF704;TUBB2B;CNKSR3;CCSER1;TPST1;CUBN;ARHGAP26;ROR2;AC064875.1;AC092924.2;AL022068.1;DGKG	0.3791782670686922	0.14217243622988462	0.12124221332351694	-0.7142857142857144	0.04652823228416724	unsupervised_expression_only	0.23159992860117776	False
