gene_id	gene_symbol	AMD_ZSTAT	AMD_P	POAG_ZSTAT	POAG_P	RE_ZSTAT	RE_P
1	A1BG	-0.27832	0.60962	0.96799	0.16652	1.6194	0.052685
10	NAT2	-0.45836	0.67665	-1.3919	0.91802	-1.0899	0.86213
100	ADA	0.25485	0.39942	-0.45979	0.67717	-0.17763	0.57049
1000	CDH2	-1.5544	0.93996	0.35352	0.36185	5.1821	1.097e-07
10000	AKT3	-0.31281	0.62279	0.02723	0.48914	2.9795	0.0014434
100008586	GAGE12F	-0.33335	0.63057	1.1254	0.13021		
10001	MED6	-1.6153	0.94688	-0.7573	0.77556	1.2887	0.098756
10002	NR2E3	-0.70352	0.75913	0.10816	0.45693	0.30098	0.38172
10003	NAALAD2	-0.080812	0.5322	1.0035	0.1578	2.0216	0.021609
100037417	DDTL	0.76887	0.22098	-0.072209	0.52878	-1.883	0.97015
10004	NAALADL1	0.31288	0.37719	1.7357	0.041309	0.39754	0.34549
100049587	SIGLEC14	-0.44533	0.67196	0.8856	0.18792	1.1748	0.12005
10005	ACOT8	1.2867	0.099091	-0.52321	0.69959	2.9736	0.0014717
10006	ABI1	0.75146	0.22619	0.7403	0.22956	1.4477	0.073855
10007	GNPDA1	-0.86801	0.8073	1.4508	0.073416	-0.77695	0.78141
10008	KCNE3	-0.54478	0.70705	0.46736	0.32012	0.27907	0.3901
10009	ZBTB33	-1.0415	0.85119	0.36844	0.35627		
1001	CDH3	2.1504	0.015761	1.5251	0.063613	0.8423	0.19981
10010	TANK	-0.70529	0.75968	-0.47298	0.68189	3.1472	0.00082415
100101267	POM121C	-1.2416	0.89281	-0.27499	0.60834	2.0284	0.02126
100101467	ZSCAN30	-1.7897	0.96325	0.097921	0.461	1.1903	0.11696
10011	SRA1	0.51709	0.30255	-0.34101	0.63345	3.0983	0.00097306
100113407	TMEM170B	-0.13473	0.55359	0.60123	0.27384	0.46587	0.32066
100125288	ZGLP1	0.73008	0.23267	0.42826	0.33423	2.5363	0.0056019
100127206	KIAA1024L	1.6229	0.052302	2.601	0.0046475	1.7923	0.03654
100127889	C10orf131	0.1747	0.43066	3.043	0.0011713	-0.39602	0.65396
100127983	C8orf88	-1.6062	0.94589	-1.7962	0.96377	2.155	0.01558
100128071	FAM229A	0.32594	0.37223	-0.69014	0.75495	-1.2673	0.89748
100128108	LOC100128108	1.2206	0.11113	-1.2491	0.89418	-2.1134	0.98272
100128124	HGC6.3	1.9578	0.025125	0.2865	0.38725	0.66448	0.25319
100128327	TRAPPC3L	0.029525	0.48822	0.37563	0.3536	3.61	0.00015309
100128496	C20orf78	-1.5173	0.9354	0.29446	0.3842	2.8743	0.0020249
100128553	CTAGE4	0.19173	0.42398	-0.49592	0.69002	0.34265	0.36593
100128569	C19orf71	-0.032195	0.51284	-0.22113	0.5875	0.23802	0.40593
100128731	OST4	-0.21987	0.58701	0.46903	0.31953	3.3958	0.0003421
100128905	LOC100128905	0.63502	0.26271	0.2341	0.40745	2.2777	0.011371
100128927	ZBTB42	-0.63428	0.73705	0.822	0.20554	1.4845	0.068834
100129083	LOC100129083	-2.4138	0.99211	0.060914	0.47571	-0.35278	0.63787
100129094	BTNL10	1.5056	0.066089	-1.0039	0.8423	1.5543	0.060059
100129098	LOC100129098	-0.49794	0.69074	1.6093	0.053779	1.503	0.066416
100129128	KHDC1L	-0.022133	0.50883	0.98164	0.16314	1.7866	0.037
100129216	LOC100129216	1.1361	0.12795	-0.53928	0.70515	-0.048848	0.51948
100129239	CXorf51A	-0.034804	0.51388	0.26089	0.39709		
100129271	C1orf68	2.213	0.01345	0.14433	0.44262	-0.61146	0.72955
100129307	LOC100129307	-0.45417	0.67515	-0.14216	0.55652	-0.30137	0.61843
