donor_id	cells	finite_fraction	median_norm_score	IQR_norm_score
17D013	3385	1.0	-0.06664708256721497	1.3867160081863403
19-D007	5879	1.0	-0.13541387021541595	1.6938585340976715
19-D009	4461	1.0	-0.09055493026971817	1.596404254436493
19-D010	5963	1.0	-0.1262570172548294	1.6906404495239258
D005-13	5536	1.0	-0.10814197733998299	1.708682268857956
D009-13	6361	1.0	-0.15823109447956085	1.7610055804252625
D027-13	5534	1.0	-0.09684490412473679	1.720920443534851
D030-13	5298	1.0	-0.09519978985190392	1.572122648358345
