gene_symbol	gene_id	muller_nearest_peak_count	all_class_nearest_peak_count	muller_specificity_ratio	n_classes_with_nearest_peak	classes	context_status
A1BG	1	2	20	0.1	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
NAT2	10	23	231	0.0995670996	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
ADA	100	18	80	0.225	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
CDH2	1000	87	622	0.139871383	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
AKT3	10000	10	120	0.0833333333	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
GAGE12F	100008586	0	0	0	0		OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
MED6	10001	2	30	0.0666666667	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
NR2E3	10002	8	203	0.039408867	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
NAALAD2	10003	2	28	0.0714285714	8	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
DDTL	100037417	1	18	0.0555555556	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
NAALADL1	10004	0	8	0	4	Astrocyte;HC;Microglia;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
SIGLEC14	100049587	0	3	0	1	Microglia	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
ACOT8	10005	1	20	0.05	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
ABI1	10006	16	116	0.137931034	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
GNPDA1	10007	19	134	0.141791045	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
KCNE3	10008	8	43	0.186046512	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
ZBTB33	10009	4	51	0.0784313725	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
CDH3	1001	2	26	0.0769230769	7	AC;BC;Cone;HC;MG;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
TANK	10010	20	146	0.136986301	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
POM121C	100101267	2	33	0.0606060606	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
ZSCAN30	100101467	5	59	0.0847457627	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
SRA1	10011	8	37	0.216216216	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
TMEM170B	100113407	35	214	0.163551402	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
ZGLP1	100125288	0	6	0	2	BC;Microglia	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
KIAA1024L	100127206	0	0	0	0		OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
C10orf131	100127889	0	0	0	0		OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
C8orf88	100127983	6	34	0.176470588	8	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
FAM229A	100128071	3	29	0.103448276	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
LOC100128108	100128108	0	0	0	0		OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
HGC6.3	100128124	9	71	0.126760563	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
TRAPPC3L	100128327	1	10	0.1	6	AC;Astrocyte;HC;MG;Microglia;RGC	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
C20orf78	100128496	1	70	0.0142857143	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
CTAGE4	100128553	0	0	0	0		OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
C19orf71	100128569	12	114	0.105263158	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
OST4	100128731	5	49	0.102040816	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
LOC100128905	100128905	0	0	0	0		OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
ZBTB42	100128927	12	52	0.230769231	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
LOC100129083	100129083	0	4	0	2	BC;Microglia	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
BTNL10	100129094	0	0	0	0		OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
LOC100129098	100129098	0	0	0	0		OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
KHDC1L	100129128	1	32	0.03125	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
LOC100129216	100129216	0	0	0	0		OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
CXorf51A	100129239	0	0	0	0		OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
C1orf68	100129271	0	2	0	1	AC	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
LOC100129307	100129307	0	0	0	0		OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
SMIM10L1	100129361	0	8	0	5	AC;Astrocyte;BC;Cone;RGC	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
C9orf92	100129385	23	237	0.0970464135	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
MKRN2OS	100129480	3	56	0.0535714286	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
LOC100129520	100129520	0	0	0	0		OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
MUC8	100129528	0	0	0	0		OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
ZNF730	100129543	1	17	0.0588235294	8	AC;Astrocyte;BC;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
FAM47E	100129583	3	29	0.103448276	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
TCF24	100129654	0	6	0	4	AC;BC;Cone;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
IZUMO3	100129669	3	32	0.09375	8	AC;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
LOC100129697	100129697	4	75	0.0533333333	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
CCDC152	100129792	9	76	0.118421053	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
ZNF737	100129842	2	24	0.0833333333	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
LOC100129924	100129924	0	0	0	0		OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
LOC100129940	100129940	24	53	0.452830189	6	AC;Astrocyte;BC;HC;MG;Microglia	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
HDAC6	10013	4	35	0.114285714	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
HSFX2	100130086	0	0	0	0		OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
KIF28P	100130097	0	0	0	0		OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
CCDC166	100130274	0	1	0	1	Astrocyte	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
C8orf89	100130301	1	7	0.142857143	5	Astrocyte;BC;HC;MG;RGC	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
SUPT20HL1	100130302	0	0	0	0		OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
C17orf107	100130311	7	103	0.067961165	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
TMEM262	100130348	8	36	0.222222222	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
LOC100130357	100130357	54	448	0.120535714	8	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
CXorf49	100130361	0	0	0	0		OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
LOC100130370	100130370	14	89	0.157303371	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
LOC100130451	100130451	1	18	0.0555555556	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
TMEM221	100130519	10	51	0.196078431	8	AC;Astrocyte;BC;Cone;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
LOC100130520	100130520	0	0	0	0		OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
C10orf142	100130539	13	91	0.142857143	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
PRR32	100130613	7	34	0.205882353	8	AC;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
LOC100130705	100130705	0	0	0	0		OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
LRRC70	100130733	1	11	0.0909090909	5	AC;BC;MG;Microglia;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
LRRC69	100130742	0	5	0	4	AC;Cone;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
SBK3	100130827	2	26	0.0769230769	8	AC;Astrocyte;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
LOC100130880	100130880	2	61	0.0327868852	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
TSTD3	100130890	6	72	0.0833333333	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
SMIM6	100130933	4	20	0.2	6	AC;Astrocyte;Cone;HC;MG;Microglia	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
SYCE1L	100130958	7	92	0.0760869565	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
C6orf99	100130967	4	37	0.108108108	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
C7orf72	100130988	0	0	0	0		OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
ZNF316	100131017	6	43	0.139534884	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
DPP9-AS1	100131094	3	30	0.1	8	AC;Astrocyte;BC;Cone;HC;MG;Microglia;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
LOC100131107	100131107	0	0	0	0		OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
BSPH1	100131137	4	16	0.25	7	AC;BC;Cone;HC;MG;Microglia;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
TSTD1	100131187	0	8	0	5	AC;BC;Cone;Microglia;RGC	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
TMEM194B	100131211	0	0	0	0		OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
ANKRD63	100131244	3	58	0.0517241379	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
C11orf91	100131378	9	99	0.0909090909	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
SP9	100131390	2	41	0.0487804878	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
CD300LD	100131439	1	16	0.0625	7	AC;Astrocyte;BC;Cone;MG;Microglia;RGC	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
ZNF705E	100131539	0	3	0	2	Cone;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
PRR23D1	100131608	0	0	0	0		OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
ARMCX4	100131755	5	38	0.131578947	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
PET100	100131801	1	4	0.25	4	Astrocyte;MG;Microglia;RGC	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
ZNF717	100131827	1	22	0.0454545455	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
FAM196B	100131897	0	0	0	0		OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
KRTAP25-1	100131902	0	5	0	5	AC;Cone;HC;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
ZNF705G	100131980	0	0	0	0		OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
LOC100132004	100132004	0	0	0	0		OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
FOXO6	100132074	41	257	0.159533074	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
LOC100132146	100132146	0	0	0	0		OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
LOC100132154	100132154	0	0	0	0		OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
NPIPB5	100132247	0	0	0	0		OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
KRTAP4-9	100132386	0	0	0	0		OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
ZNF705B	100132396	0	1	0	1	Astrocyte	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
FAM157B	100132403	0	2	0	1	Microglia	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
NBPF10	100132406	2	8	0.25	6	Astrocyte;BC;Cone;MG;Microglia;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
CLDN24	100132463	3	22	0.136363636	6	AC;Astrocyte;Cone;HC;MG;Microglia	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
KRTAP4-7	100132476	0	0	0	0		OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
LOC100132731	100132731	0	0	0	0		OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
LOC100132874	100132874	0	0	0	0		OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
DPH3P1	100132911	0	0	0	0		OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
FAM159B	100132916	0	0	0	0		OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
SMIM9	100132963	1	12	0.0833333333	7	AC;Astrocyte;BC;Cone;MG;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
CXorf49B	100132994	0	0	0	0		OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
CXorf51B	100133053	0	0	0	0		OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
LOC100133128	100133128	0	0	0	0		OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
GOLGA6L3	100133220	0	0	0	0		OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
PRR23D2	100133251	0	0	0	0		OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
LOC100133267	100133267	0	0	0	0		OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
FAM231B	100133301	0	0	0	0		OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
LOC100134391	100134391	4	56	0.0714285714	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
TEN1	100134934	3	26	0.115384615	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
UPK3BL	100134938	0	0	0	0		OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
JMJD7	100137047	6	78	0.0769230769	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
PLA2G4B	100137049	2	60	0.0333333333	6	AC;Cone;HC;MG;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
HDAC5	10014	19	212	0.0896226415	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
C17orf99	100141515	4	22	0.181818182	4	Astrocyte;MG;Microglia;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
CTAGE8	100142659	0	0	0	0		OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
LOC100144595	100144595	3	134	0.0223880597	8	AC;Astrocyte;BC;Cone;HC;MG;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
KLLN	100144748	10	190	0.0526315789	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
PDCD6IP	10015	19	247	0.0769230769	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
PDCD6	10016	0	12	0	3	AC;HC;RGC	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
PATE3	100169851	1	3	0.333333333	2	MG;RGC	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
BCL2L10	10017	15	170	0.0882352941	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
SRRM5	100170229	0	4	0	3	Astrocyte;Cone;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
ERICH4	100170765	1	15	0.0666666667	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
C17orf96	100170841	0	0	0	0		OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
BCL2L11	10018	14	105	0.133333333	8	AC;Astrocyte;BC;Cone;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
TOMM6	100188893	3	25	0.12	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
SH2B3	10019	16	264	0.0606060606	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
C5orf52	100190949	0	8	0	5	AC;Astrocyte;BC;Cone;RGC	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
C2CD4D	100191040	5	29	0.172413793	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
CDH4	1002	51	248	0.205645161	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
GNE	10020	3	45	0.0666666667	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
HCN4	10021	9	150	0.06	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
INSL5	10022	2	6	0.333333333	4	BC;Cone;MG;RGC	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
FRAT1	10023	6	65	0.0923076923	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
TROAP	10024	1	14	0.0714285714	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
MED16	10025	5	54	0.0925925926	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
PIGK	10026	1	19	0.0526315789	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
ARHGEF33	100271715	1	23	0.0434782609	7	AC;BC;Cone;HC;MG;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
ERVV-2	100271846	1	14	0.0714285714	6	AC;BC;Cone;HC;MG;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
MEF2B	100271849	2	18	0.111111111	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
RASA4B	100271927	0	0	0	0		OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
CMC4	100272147	3	30	0.1	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
FAM86KP	100287013	0	0	0	0		OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
LOC100287036	100287036	35	414	0.0845410628	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
USP17L10	100287144	12	67	0.179104478	8	AC;Astrocyte;BC;Cone;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
WASH1	100287171	0	0	0	0		OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
USP17L11	100287178	0	0	0	0		OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
USP17L12	100287205	0	0	0	0		OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
ZNF729	100287226	1	7	0.142857143	5	AC;BC;HC;MG;Microglia	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
USP17L13	100287238	0	0	0	0		OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
