chromosome	n_bim_snps	MG	AC	BC	Cone	Rod	HC	RGC	Astrocyte	Microglia
1	779354	32205	39007	31976	33189	28351	37712	40785	34029	33282
2	839590	20440	33026	26439	26442	16146	21079	26385	21343	22867
3	706350	15158	22527	21239	23333	11864	15495	20305	14754	18512
4	729645	14049	19745	18978	19029	11241	11612	16636	11863	13223
5	633015	13578	20459	18535	20739	12062	16635	18025	13088	14596
6	664016	16616	27491	19726	21724	12168	16235	21271	16425	24092
7	589569	13936	20175	19678	19114	11993	15579	20203	13351	16496
8	549971	11928	18049	17608	18419	10647	14348	18317	11532	14927
9	438106	14477	17448	15945	16270	10181	12906	15851	14158	13644
10	510501	14924	20755	18375	19000	11684	16125	19202	14504	17489
11	493922	15999	20399	19736	19483	12643	14390	20329	15146	15946
12	480110	12750	18450	18059	16903	10653	14820	16332	12514	15536
13	366200	6265	11011	9129	9441	4954	7201	10087	5942	7496
14	324698	9600	12869	13227	14765	9668	9264	12912	9152	10445
15	287001	8788	11767	11199	12459	7712	10852	12133	8833	9192
16	316981	12940	14114	14375	15334	9489	12409	13024	13419	12408
17	269222	17259	15125	18254	17910	11987	15145	14687	17746	16376
18	285156	6447	10213	9595	10033	5514	6630	9965	5635	6754
19	232363	16489	14095	16427	14318	12805	14720	12767	14831	17572
20	221626	8297	10837	10609	9872	6439	9187	10784	8280	9281
21	138712	4281	5747	5146	4208	2809	4484	6689	3917	4155
22	141123	8061	8210	8803	7468	5312	7427	8932	9480	7128
