trait	gene	magma_z	magma_p	muller_nearest_ocr_count	all_class_nearest_ocr_count	muller_specificity_ratio	official_regulatory_evidence	interpretation
AMD	APOE	7.7988	3.1238e-15	9.0	37.0	0.243243243	PUBLISHED_TABLE_S20_CRE_CONTEXT	prioritized regulatory candidate; not a causal gene and not a formal Müller CRE-gene link
AMD	APOC1	6.9847	1.427e-12	9.0	48.0	0.1875	PUBLISHED_TABLE_S20_CRE_CONTEXT	prioritized regulatory candidate; not a causal gene and not a formal Müller CRE-gene link
AMD	TGFBR1	6.3187	1.3191e-10	4.0	145.0	0.0275862069	PUBLISHED_TABLE_S20_CRE_CONTEXT	prioritized regulatory candidate; not a causal gene and not a formal Müller CRE-gene link
AMD	NYAP1	6.1094	5e-10	10.0	86.0	0.11627907	PUBLISHED_TABLE_S20_CRE_CONTEXT	prioritized regulatory candidate; not a causal gene and not a formal Müller CRE-gene link
AMD	ZCWPW1	5.7355	4.862e-09	6.0	39.0	0.153846154	PUBLISHED_TABLE_S20_CRE_CONTEXT	prioritized regulatory candidate; not a causal gene and not a formal Müller CRE-gene link
AMD	APOC2	5.7172	5.4133e-09	3.0	8.0	0.375	PUBLISHED_TABLE_S20_CRE_CONTEXT	prioritized regulatory candidate; not a causal gene and not a formal Müller CRE-gene link
AMD	PILRA	5.6987	6.0345e-09	2.0	69.0	0.0289855072	PUBLISHED_TABLE_S20_CRE_CONTEXT	prioritized regulatory candidate; not a causal gene and not a formal Müller CRE-gene link
AMD	C7orf61	5.6371	8.6476e-09	13.0	49.0	0.265306122	PUBLISHED_TABLE_S20_CRE_CONTEXT	prioritized regulatory candidate; not a causal gene and not a formal Müller CRE-gene link
AMD	TSC22D4	5.6037	1.0491e-08	7.0	43.0	0.162790698	PUBLISHED_TABLE_S20_CRE_CONTEXT	prioritized regulatory candidate; not a causal gene and not a formal Müller CRE-gene link
AMD	CBLC	2.7803	0.0027157	9.0	30.0	0.3	PUBLISHED_TABLE_S20_CRE_CONTEXT	prioritized regulatory candidate; not a causal gene and not a formal Müller CRE-gene link
AMD	BCAM	2.6393	0.004154	5.0	36.0	0.138888889	PUBLISHED_TABLE_S20_CRE_CONTEXT	prioritized regulatory candidate; not a causal gene and not a formal Müller CRE-gene link
AMD	GNB2	2.4665	0.0068229	13.0	89.0	0.146067416	PUBLISHED_TABLE_S20_CRE_CONTEXT	prioritized regulatory candidate; not a causal gene and not a formal Müller CRE-gene link
AMD	GIGYF1	2.4144	0.0078815	10.0	65.0	0.153846154	PUBLISHED_TABLE_S20_CRE_CONTEXT	prioritized regulatory candidate; not a causal gene and not a formal Müller CRE-gene link
AMD	PCOLCE	2.3298	0.009909	3.0	22.0	0.136363636	PUBLISHED_TABLE_S20_CRE_CONTEXT	prioritized regulatory candidate; not a causal gene and not a formal Müller CRE-gene link
AMD	MOSPD3	2.2312	0.012834	7.0	56.0	0.125	PUBLISHED_TABLE_S20_CRE_CONTEXT	prioritized regulatory candidate; not a causal gene and not a formal Müller CRE-gene link
POAG	BICC1	8.5864	4.4862e-18	17.0	70.0	0.242857143	PUBLISHED_TABLE_S20_CRE_CONTEXT	prioritized regulatory candidate; not a causal gene and not a formal Müller CRE-gene link
POAG	C14orf39	7.6176	1.2926e-14	14.0	71.0	0.197183099	PUBLISHED_TABLE_S20_CRE_CONTEXT	prioritized regulatory candidate; not a causal gene and not a formal Müller CRE-gene link
POAG	ARHGEF12	6.9714	1.5692e-12	17.0	213.0	0.0798122066	PUBLISHED_TABLE_S20_CRE_CONTEXT	prioritized regulatory candidate; not a causal gene and not a formal Müller CRE-gene link
POAG	SIX6	6.9205	2.2505e-12	18.0	94.0	0.191489362	PUBLISHED_TABLE_S20_CRE_CONTEXT	prioritized regulatory candidate; not a causal gene and not a formal Müller CRE-gene link
POAG	CAV2	6.5253	3.3926e-11	7.0	35.0	0.2	PUBLISHED_TABLE_S20_CRE_CONTEXT	prioritized regulatory candidate; not a causal gene and not a formal Müller CRE-gene link
POAG	ANGPT1	6.3301	1.2254e-10	15.0	180.0	0.0833333333	PUBLISHED_TABLE_S20_CRE_CONTEXT	prioritized regulatory candidate; not a causal gene and not a formal Müller CRE-gene link
POAG	ANGPTL2	6.1966	2.8851e-10	15.0	262.0	0.0572519084	PUBLISHED_TABLE_S20_CRE_CONTEXT	prioritized regulatory candidate; not a causal gene and not a formal Müller CRE-gene link
POAG	FBXO32	5.8299	2.7734e-09	40.0	233.0	0.17167382	PUBLISHED_TABLE_S20_CRE_CONTEXT	prioritized regulatory candidate; not a causal gene and not a formal Müller CRE-gene link
POAG	CDH11	5.6463	8.1959e-09	102.0	392.0	0.260204082	PUBLISHED_TABLE_S20_CRE_CONTEXT	prioritized regulatory candidate; not a causal gene and not a formal Müller CRE-gene link
POAG	LOXL1	5.0606	2.0901e-07	5.0	44.0	0.113636364	PUBLISHED_TABLE_S20_CRE_CONTEXT	prioritized regulatory candidate; not a causal gene and not a formal Müller CRE-gene link
POAG	ADAMTS8	4.9711	3.3286e-07	4.0	64.0	0.0625	PUBLISHED_TABLE_S20_CRE_CONTEXT	prioritized regulatory candidate; not a causal gene and not a formal Müller CRE-gene link
