trait	term	beta	se	t_stat	p_value	n_genes	residual_dof	model	status
AMD	intercept	2.1774777784068684	0.26939988461300635	8.082697516870956	6.708501946276848e-16	19153	19147	MAGMA gene Z ~ MG-specific nearest-gene OCR ratio + total retinal nearest-gene OCR burden + Average expression + MAGMA SNP/gene covariates	EXPLORATORY_NEAREST_GENE_CONTEXT_NOT_FORMAL_CRE_GENE_LINK
AMD	muller_specificity_ratio	0.30034319501312945	0.11694514223084995	2.568240025055948	0.010229147694020816	19153	19147	MAGMA gene Z ~ MG-specific nearest-gene OCR ratio + total retinal nearest-gene OCR burden + Average expression + MAGMA SNP/gene covariates	EXPLORATORY_NEAREST_GENE_CONTEXT_NOT_FORMAL_CRE_GENE_LINK
AMD	log1p_all_class_nearest_peak_count	0.0004391444659202634	0.007883079045416755	0.05570722599509937	0.955575624177984	19153	19147	MAGMA gene Z ~ MG-specific nearest-gene OCR ratio + total retinal nearest-gene OCR burden + Average expression + MAGMA SNP/gene covariates	EXPLORATORY_NEAREST_GENE_CONTEXT_NOT_FORMAL_CRE_GENE_LINK
AMD	average_retinal_expression	0.029105391021229107	0.007212358903113289	4.035488445904358	5.470049743731354e-05	19153	19147	MAGMA gene Z ~ MG-specific nearest-gene OCR ratio + total retinal nearest-gene OCR burden + Average expression + MAGMA SNP/gene covariates	EXPLORATORY_NEAREST_GENE_CONTEXT_NOT_FORMAL_CRE_GENE_LINK
AMD	log1p_magma_nsnp	0.004365538522424027	0.016501586116668757	0.26455266127504334	0.7913569393853508	19153	19147	MAGMA gene Z ~ MG-specific nearest-gene OCR ratio + total retinal nearest-gene OCR burden + Average expression + MAGMA SNP/gene covariates	EXPLORATORY_NEAREST_GENE_CONTEXT_NOT_FORMAL_CRE_GENE_LINK
AMD	log1p_magma_gene_length	-0.1831776644036684	0.027890196398925204	-6.567815507054926	5.237083992428523e-11	19153	19147	MAGMA gene Z ~ MG-specific nearest-gene OCR ratio + total retinal nearest-gene OCR burden + Average expression + MAGMA SNP/gene covariates	EXPLORATORY_NEAREST_GENE_CONTEXT_NOT_FORMAL_CRE_GENE_LINK
POAG	intercept	0.040465597109874296	0.24228679585455284	0.1670152802473239	0.8673597749771518	19313	19307	MAGMA gene Z ~ MG-specific nearest-gene OCR ratio + total retinal nearest-gene OCR burden + Average expression + MAGMA SNP/gene covariates	EXPLORATORY_NEAREST_GENE_CONTEXT_NOT_FORMAL_CRE_GENE_LINK
POAG	muller_specificity_ratio	0.4024144472746442	0.10459141165730278	3.847490352201847	0.00011971776950238162	19313	19307	MAGMA gene Z ~ MG-specific nearest-gene OCR ratio + total retinal nearest-gene OCR burden + Average expression + MAGMA SNP/gene covariates	EXPLORATORY_NEAREST_GENE_CONTEXT_NOT_FORMAL_CRE_GENE_LINK
POAG	log1p_all_class_nearest_peak_count	0.01494731935062634	0.007022784866304758	2.128403423311941	0.03331627574207978	19313	19307	MAGMA gene Z ~ MG-specific nearest-gene OCR ratio + total retinal nearest-gene OCR burden + Average expression + MAGMA SNP/gene covariates	EXPLORATORY_NEAREST_GENE_CONTEXT_NOT_FORMAL_CRE_GENE_LINK
POAG	average_retinal_expression	0.01454379174574826	0.006459043951471074	2.2516941911249653	0.02435279675246385	19313	19307	MAGMA gene Z ~ MG-specific nearest-gene OCR ratio + total retinal nearest-gene OCR burden + Average expression + MAGMA SNP/gene covariates	EXPLORATORY_NEAREST_GENE_CONTEXT_NOT_FORMAL_CRE_GENE_LINK
POAG	log1p_magma_nsnp	0.04075133882495	0.01637226475470169	2.4890471437830413	0.012816954022328592	19313	19307	MAGMA gene Z ~ MG-specific nearest-gene OCR ratio + total retinal nearest-gene OCR burden + Average expression + MAGMA SNP/gene covariates	EXPLORATORY_NEAREST_GENE_CONTEXT_NOT_FORMAL_CRE_GENE_LINK
POAG	log1p_magma_gene_length	-0.002512670573084966	0.025869196630551497	-0.09712982621646257	0.9226243031384302	19313	19307	MAGMA gene Z ~ MG-specific nearest-gene OCR ratio + total retinal nearest-gene OCR burden + Average expression + MAGMA SNP/gene covariates	EXPLORATORY_NEAREST_GENE_CONTEXT_NOT_FORMAL_CRE_GENE_LINK
RE	intercept	-2.0470532115027527	0.3814129399786834	-5.367026120343897	8.10160296977161e-08	18377	18371	MAGMA gene Z ~ MG-specific nearest-gene OCR ratio + total retinal nearest-gene OCR burden + Average expression + MAGMA SNP/gene covariates	EXPLORATORY_NEAREST_GENE_CONTEXT_NOT_FORMAL_CRE_GENE_LINK
RE	muller_specificity_ratio	0.3704986409621312	0.16124280114576672	2.297768572174537	0.021586147124278997	18377	18371	MAGMA gene Z ~ MG-specific nearest-gene OCR ratio + total retinal nearest-gene OCR burden + Average expression + MAGMA SNP/gene covariates	EXPLORATORY_NEAREST_GENE_CONTEXT_NOT_FORMAL_CRE_GENE_LINK
RE	log1p_all_class_nearest_peak_count	0.041863710802382034	0.010736417323368894	3.899225369272993	9.684399580153122e-05	18377	18371	MAGMA gene Z ~ MG-specific nearest-gene OCR ratio + total retinal nearest-gene OCR burden + Average expression + MAGMA SNP/gene covariates	EXPLORATORY_NEAREST_GENE_CONTEXT_NOT_FORMAL_CRE_GENE_LINK
RE	average_retinal_expression	0.05947932738917676	0.00992337950596987	5.993857974835509	2.0874818181148704e-09	18377	18371	MAGMA gene Z ~ MG-specific nearest-gene OCR ratio + total retinal nearest-gene OCR burden + Average expression + MAGMA SNP/gene covariates	EXPLORATORY_NEAREST_GENE_CONTEXT_NOT_FORMAL_CRE_GENE_LINK
RE	log1p_magma_nsnp	-0.1576559663463463	0.021185675012636858	-7.441630547636904	1.0383444316619768e-13	18377	18371	MAGMA gene Z ~ MG-specific nearest-gene OCR ratio + total retinal nearest-gene OCR burden + Average expression + MAGMA SNP/gene covariates	EXPLORATORY_NEAREST_GENE_CONTEXT_NOT_FORMAL_CRE_GENE_LINK
RE	log1p_magma_gene_length	0.3350555283967158	0.03827270418491007	8.754425262921961	2.2262793654920495e-18	18377	18371	MAGMA gene Z ~ MG-specific nearest-gene OCR ratio + total retinal nearest-gene OCR burden + Average expression + MAGMA SNP/gene covariates	EXPLORATORY_NEAREST_GENE_CONTEXT_NOT_FORMAL_CRE_GENE_LINK
